stop,lat,long,region_id,list_index,video_index,video_date
Parada Lisandro Torres - Estrada do M'Boi Mirim,-23.67545,-46.755457,7,363,ot4do66oLk0,2021-05-28
Parada Leonardo de Fassio - Av. Atlântica,-23.693802,-46.714902,6,362,CPj242nhzcY,2021-05-26
Parada Daniel Klein - Estrada do M'Boi Mirim,-23.674843,-46.748132,7,361,-DNWDaeGF7c,2021-05-19
Parada Nicolau - Av. Atlântica,-23.688202,-46.714573,6,360,oizxI3OGvnI,2021-05-18
Parada João de Abreu - Estrada do M'Boi Mirim,-23.669593,-46.736089,7,359,T6Qzh40MWjw,2021-05-16
Parada Primo Tisseli - Av. Atlântica,-23.684024,-46.71441,6,357,sdLXukrLEMg,2021-05-13
Parada Francisco Xavier da Rocha - Av. Guarapiranga,-23.6677048,-46.7305479,7,355,FWc226hUiUY,2021-05-11
Parada João de Barros - Av. Atlântica,-23.676253,-46.712471,6,354,kkX6k4jB7UY,2021-05-07
Parada Ptolomeu - Av. Guarapiranga,-23.666413,-46.719219,7,353,YgsWdJXUBl0,2021-05-05
Parada Dos Inocentes - Av. Atlântica,-23.672073,-46.712195,6,351,0_1Rt2bP27c,2021-05-03
Parada Peri Peri - Av. Guarapiranga,-23.666015,-46.714731,7,350,ybUNjnwEfkY,2021-05-01
Parada Largo do Socorro - Av. Atlântica,-23.6673014,-46.7120676,6,349,NZqb3FZGAGc,2021-04-30
Parada Doutor Renato Paes de Barros - Av. Nove de Julho,-23.57881,-46.67576,9,347,LRKUqzbB_0Y,2021-04-26
Parada Moema - Av. Ibirapuera,-23.6036538,-46.6622929,9,343,ACW9Eor8DcE,2021-04-22
Parada João Cachoeira - Av. Nove de Julho,-23.5805408,-46.6799087,9,342,e-n_DD4Gs6Y,2020-04-20
Parada Funchal - R. Gomes de Carvalho,-23.5950568,-46.6894896,9,339,krv3G68R5mw,2021-04-17
Parada Rio Verde - Av. General Edgar Facó,-23.490152,-46.710428,1,330,81DfqOFv0u0,2021-04-03
Parada Divisa - Av. Cupecê,-23.68418,-46.63327,6,329,T7Lb8y_Bdak,2021-04-02
