"terminal","lat","long","region","list_index","video_index","video_date"
Jardim Britânia,-23.432013,-46.787065,1,27,8XaCCS4Z-w4,2018-12-16
Pirituba,-23.48625,-46.72637,1,2,jMSBM2rmNHs,2017-01-15
Casa Verde,-23.49617,-46.66257,2,24,iQYjuso9rMs,2018-07-14
Vila Nova Cachoeirinha,-23.47518,-46.67022,2,19,EyBPG8XGZa4,2017-05-27
A. E. Carvalho,-23.51773,-46.47582,3,4,lZ1_EZlL4cg,2017-01-25
Aricanduva,-23.52849,-46.55465,3,23,1vAvmQd3dgE,2018-03-11
Penha,-23.51908,-46.54667,3,12,cjgOsQCpwXQ,2017-03-04
São Miguel,-23.49168,-46.43478,3,22,fUbxU0F8wTQ,2018-02-11
Cidade Tiradentes,-23.583413,-46.40803,4,25,rhFJ4AeLZNQ,2018-10-06
Itaquera II,-23.54201,-46.471169,4,-1,6P1dPMtmK7g,2021-02-06
Vila Carrão,-23.558409,-46.52277,4,5,U7IzfSZO2ew,2017-01-29
São Mateus,-23.613391,-46.476349,5,8,pmreGeJrlKQ,2017-02-10
Sacomã,-23.603068,-46.602679,5,11,ZUG7zEKUYhA,2017-02-28
Sapopemba/Teotônio Vilela,-23.614059,-46.500908,5,10,ditGzgDvVeQ,2017-02-18
Grajaú,-23.737127,-46.697176,6,20,i2j0I9rEnMo,2017-12-09
Parelheiros,-23.828151,-46.727022,6,1,iTObjOS26lM,2017-01-11
Varginha,-23.76708,-46.716383,6,28,HoO5EkyzU90,2018-12-29
Água Espraiada,-23.613621,-46.695486,7,-1,L9w_tInPWuI,2017-08-04
Capelinha,-23.654296,-46.762233,7,9,Vc521GDXpVo,2017-02-14
Guarapiranga,-23.668179,-46.735396,7,13,TP6kykG2lPQ,2017-03-08
Jardim Ângela,-23.690582,-46.773991,7,17,ZBlwRElANNc,2017-05-06
João Dias,-23.643699,-46.733915,7,15,sjboaQGbQCU,2017-03-16
Santo Amaro,-23.654245,-46.711486,7,26,p5l1_FuTz1I,2018-11-17
Campo Limpo,-23.631103,-46.772895,8,21,MiCQtZWxUT8,2018-01-18
Amaral Gurgel,-23.539143,-46.64841,9,29,0HU4rqqAxI4,2019-01-15
Bandeira,-23.54949,-46.63962,9,3,Sx2E1ORwHLM,2017-01-19
Lapa,-23.52008,-46.700101,9,6,ZihdOC5Kipo,2017-02-02
Mercado,-23.547267,-46.628927,9,14,0AOIoPlnNzs,2017-03-12
Parque Dom Pedro II,-23.546986,-46.630103,9,7,WAcMS88XRyk,2017-02-06
Pinheiros,-23.566389,-46.701829,9,16,7U81PG6eklc,2017-04-15
Princesa Isabel,-23.534336,-46.644712,9,18,3JTnXnIGlbM,2017-05-21
Vila Prudente,-23.584917,-46.58313,9,30,tHURrGPfym8,2019-05-17
