lat,long
-23.68429,-46.62641
-23.68444,-46.62639
-23.68478,-46.62629
-23.68497,-46.62617
-23.68496,-46.62609
-23.68492,-46.62602
-23.68469,-46.62603
-23.68387,-46.62614
-23.68367,-46.62616
-23.68329,-46.62621
-23.68329,-46.62627
-23.6833,-46.62633
-23.68369,-46.62667
-23.68405,-46.62692
-23.68435,-46.62702
-23.68491,-46.62709
-23.68494,-46.6271
-23.68485,-46.6274
-23.68479,-46.62794
-23.68482,-46.62853
-23.68472,-46.62942
-23.68466,-46.62977
-23.68465,-46.62984
-23.6845,-46.62991
-23.68431,-46.62992
-23.68389,-46.62972
-23.68339,-46.62947
-23.68336,-46.62936
-23.68339,-46.62926
-23.68372,-46.62901
-23.68383,-46.62897
-23.68445,-46.6293
-23.68472,-46.62942
-23.68481,-46.62943
-23.68495,-46.62935
-23.68498,-46.62902
-23.68501,-46.6281
-23.685,-46.62776
-23.68503,-46.62757
-23.68515,-46.62703
-23.68539,-46.62626
-23.68544,-46.62601
-23.68581,-46.62576
-23.68599,-46.62575
-23.68622,-46.62578
-23.68669,-46.62591
-23.68716,-46.62612
-23.68801,-46.62652
-23.68835,-46.62623
-23.68889,-46.62575
-23.6895,-46.62655
-23.68991,-46.62698
-23.69019,-46.62719
-23.6906,-46.62746
-23.69122,-46.62781
-23.69171,-46.6279
-23.69209,-46.6279
-23.69262,-46.62793
-23.69329,-46.62819
-23.69413,-46.62852
-23.69473,-46.62882
-23.69525,-46.62903
-23.69549,-46.62907
-23.69594,-46.62898
-23.69618,-46.6289
-23.69655,-46.62878
-23.69672,-46.62868
-23.69714,-46.62825
-23.69745,-46.62789
-23.69763,-46.62779
-23.69775,-46.62776
-23.69795,-46.62777
-23.69811,-46.62781
-23.69822,-46.62788
-23.69855,-46.62823
-23.69872,-46.62834
-23.69893,-46.62841
-23.69951,-46.62851
-23.69998,-46.62844
-23.70049,-46.62829
-23.70071,-46.62818
-23.70084,-46.62802
-23.70102,-46.62751
-23.70111,-46.62727
-23.7012,-46.62711
-23.70137,-46.627
-23.70172,-46.62695
-23.70176,-46.62702
-23.70211,-46.62761
-23.7028,-46.62866
-23.703,-46.62892
-23.70314,-46.62925
-23.70304,-46.62941
-23.70304,-46.62971
-23.70299,-46.63029
-23.70295,-46.63098
-23.70307,-46.6314
-23.70332,-46.63209
-23.7036,-46.63242
-23.70374,-46.6327
-23.70384,-46.633
-23.70397,-46.6332
-23.70419,-46.63356
-23.70424,-46.63385
-23.70434,-46.63409
-23.7046,-46.6347
-23.70488,-46.63526
-23.70485,-46.63535
-23.70475,-46.63537
-23.70388,-46.63496
-23.70286,-46.6345
-23.70139,-46.63372
-23.70168,-46.63467
-23.70183,-46.63536
-23.70203,-46.63637
-23.70176,-46.63675
-23.70218,-46.63691
-23.70279,-46.63716
-23.70286,-46.63726
-23.70295,-46.63748
-23.70297,-46.63774
-23.70288,-46.63848
-23.70268,-46.63863
-23.70198,-46.63906
-23.7017,-46.63925
-23.70139,-46.63935
-23.70114,-46.63949
-23.70084,-46.63966
-23.70067,-46.63979
-23.70039,-46.63999
-23.70035,-46.64009
-23.70035,-46.64043
-23.70036,-46.6409
-23.70032,-46.64155
-23.70026,-46.64184
-23.70019,-46.64196
-23.70005,-46.64195
-23.69994,-46.64175
-23.69972,-46.64114
-23.69916,-46.64132
-23.69916,-46.6409
-23.69917,-46.64028
-23.69914,-46.63973
-23.69903,-46.63961
-23.69878,-46.63941
-23.69846,-46.63914
-23.69816,-46.63879
-23.69749,-46.6379
-23.69685,-46.63703
-23.69659,-46.63646
-23.69655,-46.63616
-23.69644,-46.63541
-23.69646,-46.63525
-23.69652,-46.63511
-23.69667,-46.63495
-23.69723,-46.63438
-23.69728,-46.63424
-23.69724,-46.63404
-23.69714,-46.63382
-23.69727,-46.63354
-23.69723,-46.63343
-23.69721,-46.63329
-23.69725,-46.63244
-23.69736,-46.63078
-23.69739,-46.6304
-23.69756,-46.6296
-23.69759,-46.62944
-23.69769,-46.62934
-23.69764,-46.62907
-23.69745,-46.62865
-23.69714,-46.62825
-23.69685,-46.62855
-23.69672,-46.62868
-23.69655,-46.62878
-23.69594,-46.62898
-23.69549,-46.62907
-23.69539,-46.62906
-23.69473,-46.62882
-23.69413,-46.62852
-23.69262,-46.62793
-23.69209,-46.6279
-23.69171,-46.6279
-23.69122,-46.62781
-23.69092,-46.62764
-23.6903,-46.62726
-23.69,-46.62705
-23.6895,-46.62655
-23.68889,-46.62575
-23.68791,-46.62512
-23.68727,-46.62473
-23.68662,-46.62423
-23.68645,-46.6241
-23.68557,-46.62401
-23.68547,-46.624
-23.6854,-46.62406
-23.68533,-46.62419
-23.68529,-46.6255
-23.68526,-46.62595
-23.68469,-46.62603
-23.68387,-46.62614
-23.68379,-46.62626
-23.6838,-46.62633
-23.68386,-46.62641
-23.68412,-46.62643
-23.68429,-46.62641
