lat,long
-23.5665,-46.701442
-23.566588,-46.701389
-23.56662,-46.70137
-23.566721,-46.701312
-23.566744,-46.701347
-23.566831,-46.701467
-23.56686,-46.70151
-23.566879,-46.701495
-23.5669,-46.701484
-23.566937,-46.701468
-23.567084,-46.701377
-23.567103,-46.701365
-23.56718,-46.701311
-23.56721,-46.701299
-23.567243,-46.701277
-23.567326,-46.701211
-23.567486,-46.700903
-23.567579,-46.700712
-23.567604,-46.700656
-23.567625,-46.700612
-23.56766,-46.700527
-23.567681,-46.700457
-23.56775,-46.700412
-23.567931,-46.70039
-23.567739,-46.699603
-23.56772,-46.699362
-23.567668,-46.69827
-23.567615,-46.696502
-23.567615,-46.696379
-23.567622,-46.696203
-23.567625,-46.695946
-23.567624,-46.695585
-23.567617,-46.695496
-23.567571,-46.694914
-23.567494,-46.693944
-23.567233,-46.693576
-23.567707,-46.693136
-23.567886,-46.692973
-23.568175,-46.692715
-23.568954,-46.692246
-23.569452,-46.691941
-23.570256,-46.691428
-23.570646,-46.69118
-23.571017,-46.69094
-23.571152,-46.690856
-23.571223,-46.690813
-23.571403,-46.690698
-23.571881,-46.690394
-23.572006,-46.690323
-23.572115,-46.69026
-23.572289,-46.690155
-23.572317,-46.690094
-23.57238,-46.690098
-23.572557,-46.689987
-23.573067,-46.689641
-23.573623,-46.689247
-23.574417,-46.688758
-23.574991,-46.68841
-23.57558,-46.688048
-23.576025,-46.687767
-23.576083,-46.687731
-23.576543,-46.687452
-23.577037,-46.687147
-23.577409,-46.686914
-23.57821,-46.686418
-23.578528,-46.686221
-23.579352,-46.685713
-23.579642,-46.68557
-23.579973,-46.685393
-23.580219,-46.68527
-23.580604,-46.685077
-23.580739,-46.685005
-23.580832,-46.684958
-23.581262,-46.684739
-23.581474,-46.684632
-23.581596,-46.684756
-23.581928,-46.685106
-23.58204,-46.685229
-23.582368,-46.685569
-23.582473,-46.685679
-23.582863,-46.686068
-23.582923,-46.686126
-23.583106,-46.686317
-23.583515,-46.686748
-23.583731,-46.686976
-23.583907,-46.687158
-23.584338,-46.687611
-23.584597,-46.687882
-23.58461,-46.687903
-23.584637,-46.687921
-23.5852,-46.688509
-23.585597,-46.688959
-23.585851,-46.68922
-23.585935,-46.689307
-23.585965,-46.689345
-23.586258,-46.68965
-23.586397,-46.689792
-23.586511,-46.689957
-23.586555,-46.690036
-23.58659,-46.690171
-23.586603,-46.690262
-23.58661,-46.690322
-23.586615,-46.69042
-23.58663,-46.690612
-23.586631,-46.690705
-23.586654,-46.691085
-23.586688,-46.692026
-23.586708,-46.692408
-23.586715,-46.692607
-23.586695,-46.692862
-23.586663,-46.692862
-23.586636,-46.692873
-23.586601,-46.692892
-23.586569,-46.692916
-23.586531,-46.692954
-23.58643,-46.693022
-23.586386,-46.693054
-23.586359,-46.693081
-23.58579,-46.693256
-23.585724,-46.693239
-23.585647,-46.693219
-23.585556,-46.693186
-23.585502,-46.693151
-23.585467,-46.693105
-23.585433,-46.693038
-23.58541,-46.692957
-23.585409,-46.692902
-23.585411,-46.692842
-23.585419,-46.692801
-23.585431,-46.692761
-23.585457,-46.692718
-23.585497,-46.69266
-23.585548,-46.692606
-23.585605,-46.692546
-23.585696,-46.692465
-23.585923,-46.692393
-23.586068,-46.692353
-23.586228,-46.692346
-23.586403,-46.692321
-23.587029,-46.692358
-23.587234,-46.692377
-23.587387,-46.692394
-23.587476,-46.692399
-23.587719,-46.692445
-23.587984,-46.692538
-23.588644,-46.69278
-23.588816,-46.692837
-23.589096,-46.692986
-23.589327,-46.69312
-23.589566,-46.69326
-23.589719,-46.693323
-23.589955,-46.693423
-23.590411,-46.693689
-23.590487,-46.693723
-23.590588,-46.693804
-23.590713,-46.693935
-23.590816,-46.694037
-23.590984,-46.694225
-23.591066,-46.694324
-23.59115,-46.694428
-23.591236,-46.694526
-23.591293,-46.694575
-23.591364,-46.694631
-23.59143,-46.694676
-23.591584,-46.694748
-23.591714,-46.694786
-23.591837,-46.6948
-23.591982,-46.694799
-23.592048,-46.6948
-23.592108,-46.694804
-23.59225,-46.694807
-23.592411,-46.694835
-23.592576,-46.694869
-23.592695,-46.694893
-23.59285,-46.694895
-23.593186,-46.694817
-23.593289,-46.694783
-23.593758,-46.694753
-23.59384,-46.694761
-23.593981,-46.694819
-23.594259,-46.694965
-23.594517,-46.695103
-23.594674,-46.695189
-23.595016,-46.69538
-23.595172,-46.695502
-23.595218,-46.695545
-23.595299,-46.695613
-23.595322,-46.695638
-23.595481,-46.695811
-23.59557,-46.695931
-23.595713,-46.696208
-23.595969,-46.696705
-23.596097,-46.69688
-23.596213,-46.697014
-23.596408,-46.697143
-23.596497,-46.697197
-23.596684,-46.697267
-23.596888,-46.697325
-23.597063,-46.697339
-23.597235,-46.697327
-23.59764,-46.69726
-23.598613,-46.697087
-23.599046,-46.697027
-23.599204,-46.697021
-23.599527,-46.697035
-23.599733,-46.697072
-23.600065,-46.697189
-23.600599,-46.697385
-23.601389,-46.697739
-23.602119,-46.698041
-23.602578,-46.69822
-23.602936,-46.69834
-23.603173,-46.698424
-23.603903,-46.698681
-23.604896,-46.698975
