lat,long
-23.5431,-46.589198
-23.543118,-46.589283
-23.54318,-46.589587
-23.543428,-46.590087
-23.543735,-46.591638
-23.543846,-46.592206
-23.543904,-46.592511
-23.543936,-46.592618
-23.543986,-46.592726
-23.544088,-46.592706
-23.544125,-46.592694
-23.544179,-46.592683
-23.544211,-46.592672
-23.544235,-46.592653
-23.544258,-46.592631
-23.544286,-46.592599
-23.544427,-46.592551
-23.545029,-46.592304
-23.545347,-46.592164
-23.545614,-46.592029
-23.54582,-46.591991
-23.545985,-46.592159
-23.547045,-46.591203
-23.546998,-46.591091
-23.546689,-46.589541
-23.54656,-46.588819
-23.546477,-46.588384
-23.546408,-46.588043
-23.546378,-46.587902
-23.546253,-46.587304
-23.546134,-46.586665
-23.546051,-46.586254
-23.545867,-46.585286
-23.545795,-46.584964
-23.546272,-46.584563
-23.547496,-46.583073
-23.547556,-46.583003
-23.548403,-46.582086
-23.548587,-46.581897
-23.548778,-46.581698
-23.548962,-46.581537
-23.549521,-46.58107
-23.550061,-46.580642
-23.550327,-46.580468
-23.550723,-46.580215
-23.551324,-46.579874
-23.551373,-46.579846
-23.5515,-46.579774
-23.55153,-46.579757
-23.551536,-46.579753
-23.551858,-46.579575
-23.55232,-46.579311
-23.553304,-46.578766
-23.553413,-46.57848
-23.5539,-46.577214
-23.554129,-46.577265
-23.55435,-46.577314
-23.554443,-46.577233
-23.554517,-46.577172
-23.554573,-46.57712
-23.554653,-46.577056
-23.554687,-46.577018
-23.554715,-46.576971
-23.554771,-46.576811
-23.554823,-46.576662
-23.554847,-46.576584
-23.554873,-46.576527
-23.554897,-46.576435
-23.554921,-46.576391
-23.554929,-46.576346
-23.555027,-46.576086
-23.555157,-46.575802
-23.555822,-46.574238
-23.556799,-46.571977
-23.556915,-46.571704
-23.557492,-46.570452
-23.557701,-46.569966
-23.55816,-46.568862
-23.558213,-46.568724
-23.558521,-46.568018
-23.558649,-46.567837
-23.55898,-46.567546
-23.559277,-46.567303
-23.559597,-46.567043
-23.559819,-46.566863
-23.559952,-46.566748
-23.559978,-46.566629
-23.560048,-46.566433
-23.560249,-46.566152
-23.560302,-46.565984
-23.560469,-46.565618
-23.561342,-46.563707
-23.561461,-46.563444
-23.561496,-46.563369
-23.561587,-46.563168
-23.561698,-46.562926
-23.561995,-46.56226
-23.562206,-46.561795
-23.562532,-46.561103
