lat,long
-23.556585,-46.634146
-23.556634,-46.634146
-23.556688,-46.63415
-23.557097,-46.634118
-23.557127,-46.634116
-23.558023,-46.634052
-23.558308,-46.634026
-23.558354,-46.635051
-23.558384,-46.635791
-23.558399,-46.636093
-23.558399,-46.636178
-23.558378,-46.636315
-23.558288,-46.636873
-23.558276,-46.637
-23.558239,-46.63711
-23.559305,-46.637691
-23.559091,-46.637989
-23.558917,-46.638222
-23.558526,-46.638757
-23.558217,-46.639147
-23.557699,-46.63987
-23.55766,-46.639918
-23.557172,-46.640569
-23.558297,-46.641539
-23.558807,-46.641975
-23.559499,-46.642557
-23.559641,-46.642682
-23.559982,-46.642973
-23.56123,-46.64403
-23.561702,-46.644436
-23.562402,-46.645034
-23.562625,-46.645219
-23.563062,-46.645565
-23.563146,-46.64563
-23.563189,-46.645673
-23.563356,-46.645822
-23.563787,-46.645652
-23.564439,-46.645383
-23.564603,-46.645327
-23.564729,-46.645276
-23.565022,-46.645185
-23.566075,-46.644839
-23.568183,-46.644132
-23.568435,-46.644061
-23.568776,-46.644034
-23.570089,-46.643942
-23.57073,-46.643896
-23.570851,-46.643897
-23.570933,-46.643943
-23.571039,-46.644019
-23.571266,-46.644195
-23.570238,-46.645516
-23.569532,-46.646436
-23.56886,-46.647318
-23.567607,-46.648969
-23.56609,-46.6508
-23.564894,-46.652244
-23.563669,-46.653726
-23.563112,-46.654394
-23.562563,-46.65505
-23.561964,-46.655781
-23.561349,-46.656481
-23.560845,-46.657047
-23.560011,-46.657983
-23.559176,-46.658923
-23.558076,-46.660163
-23.557299,-46.661037
-23.557273,-46.661075
-23.557264,-46.661135
-23.556975,-46.661465
-23.556522,-46.661981
-23.556065,-46.662495
-23.555889,-46.662689
-23.555776,-46.662812
-23.555688,-46.662909
-23.555667,-46.662932
-23.555442,-46.66313
-23.555381,-46.663195
-23.555255,-46.663344
-23.555198,-46.663416
-23.555129,-46.663556
-23.555084,-46.663677
-23.555068,-46.663791
-23.555061,-46.663881
-23.555065,-46.66396
-23.55507,-46.664035
-23.555095,-46.664132
-23.555129,-46.664229
-23.555182,-46.664328
-23.555358,-46.664556
-23.555821,-46.665003
-23.556267,-46.665433
-23.556447,-46.665611
-23.55656,-46.665734
-23.556668,-46.66589
-23.556717,-46.665962
-23.556856,-46.666164
-23.557002,-46.666379
-23.557339,-46.666946
-23.557829,-46.667557
-23.558038,-46.667856
-23.558079,-46.667913
-23.558148,-46.668003
-23.558272,-46.668175
-23.558386,-46.668351
-23.558587,-46.668653
-23.558687,-46.668818
-23.559402,-46.67012
-23.559652,-46.670581
-23.55988,-46.671005
-23.560209,-46.671597
-23.560415,-46.671961
-23.560487,-46.672086
-23.560614,-46.672296
-23.560717,-46.672467
-23.561083,-46.673078
-23.561661,-46.674044
-23.561932,-46.674496
-23.562061,-46.674714
-23.562277,-46.674993
-23.562452,-46.67522
-23.56296,-46.6759
-23.563434,-46.676505
-23.563545,-46.676688
-23.563611,-46.67681
-23.563805,-46.67718
-23.564028,-46.677614
-23.564167,-46.677871
-23.564264,-46.678054
-23.564479,-46.678459
-23.565152,-46.679735
-23.56559,-46.680552
-23.566958,-46.683145
-23.567326,-46.683846
-23.56774,-46.68461
-23.568152,-46.685394
-23.56832,-46.685718
-23.568684,-46.686397
-23.569306,-46.687574
-23.569425,-46.687802
-23.569663,-46.688253
-23.570305,-46.68948
-23.570765,-46.690363
-23.570949,-46.690689
-23.571017,-46.69094
-23.57108,-46.691223
-23.57116,-46.692491
-23.571221,-46.693138
-23.571317,-46.694085
-23.571466,-46.695237
-23.5715,-46.695626
-23.57152,-46.695789
-23.571577,-46.696256
-23.57178,-46.698151
-23.571911,-46.699196
-23.572008,-46.699776
-23.572083,-46.70016
-23.572113,-46.700338
-23.572198,-46.700706
-23.572246,-46.700988
-23.572287,-46.701566
-23.572298,-46.701692
-23.5723,-46.702042
-23.572262,-46.702226
-23.572197,-46.702416
-23.572134,-46.702628
-23.572126,-46.702787
-23.572115,-46.702952
-23.572122,-46.703126
-23.572134,-46.7032
-23.57217,-46.703374
-23.572271,-46.703657
-23.572315,-46.703795
-23.572364,-46.70393
-23.572409,-46.704104
-23.57243,-46.704195
-23.572449,-46.70427
-23.572464,-46.704325
-23.572426,-46.70457
-23.572415,-46.704622
-23.572396,-46.704707
-23.572368,-46.704855
-23.572086,-46.705752
-23.571989,-46.706057
-23.571563,-46.707369
-23.571518,-46.707509
-23.571445,-46.707733
-23.571379,-46.707961
-23.570992,-46.709159
-23.570765,-46.709853
-23.570248,-46.711513
-23.570219,-46.711615
-23.569888,-46.71265
-23.569613,-46.713491
-23.569428,-46.714087
-23.56913,-46.715022
-23.569136,-46.715166
-23.569144,-46.715231
-23.569156,-46.715311
-23.569177,-46.715391
-23.569935,-46.717182
-23.570573,-46.71872
-23.571035,-46.719827
-23.571225,-46.720247
-23.571306,-46.720443
-23.57139,-46.720626
-23.571702,-46.721343
-23.572108,-46.722263
-23.572191,-46.722476
-23.572381,-46.722922
-23.572655,-46.72357
-23.573173,-46.724813
-23.574082,-46.726975
-23.574159,-46.727156
-23.574251,-46.727367
-23.574294,-46.727464
-23.574463,-46.727852
-23.574602,-46.728173
-23.574774,-46.728579
-23.574932,-46.728951
-23.575003,-46.729117
-23.575017,-46.729198
-23.575033,-46.729289
-23.575031,-46.729449
-23.575006,-46.729574
-23.574962,-46.729702
-23.574898,-46.729815
-23.574832,-46.729904
-23.574788,-46.729975
-23.574777,-46.730007
-23.574774,-46.730047
-23.574603,-46.730158
-23.574136,-46.73045
-23.573927,-46.730676
-23.573804,-46.730805
-23.573711,-46.730954
-23.573642,-46.731131
-23.573614,-46.731253
-23.573588,-46.731479
-23.573585,-46.731625
-23.573584,-46.731741
-23.573582,-46.731802
-23.573586,-46.731855
-23.573596,-46.732005
-23.573609,-46.732189
-23.57363,-46.732331
-23.573676,-46.732634
-23.573681,-46.732688
-23.573692,-46.732815
-23.573696,-46.73286
-23.573724,-46.733174
-23.573749,-46.73345
-23.573767,-46.733575
-23.573781,-46.733668
-23.573791,-46.733714
-23.57382,-46.733849
-23.573895,-46.734053
-23.573959,-46.734265
-23.574004,-46.734421
-23.574122,-46.7349
-23.574124,-46.735162
-23.574113,-46.73528
-23.574082,-46.735485
-23.574084,-46.735644
-23.574091,-46.735789
-23.574086,-46.735876
-23.574087,-46.735929
-23.574038,-46.736123
-23.573967,-46.736311
-23.573818,-46.736686
-23.573726,-46.736933
-23.573684,-46.737061
-23.573656,-46.737193
-23.573643,-46.737276
-23.573639,-46.737402
-23.573647,-46.737505
-23.573775,-46.737955
-23.573922,-46.738499
-23.574004,-46.738757
-23.574048,-46.738854
-23.574085,-46.738915
-23.574228,-46.7391
-23.574934,-46.739655
-23.574973,-46.739686
-23.575086,-46.739807
-23.575277,-46.740119
-23.575315,-46.740192
-23.575367,-46.740291
-23.575664,-46.740856
-23.57622,-46.741929
-23.576271,-46.742027
-23.576324,-46.742092
-23.576341,-46.742112
-23.576381,-46.742174
-23.576399,-46.742199
-23.576408,-46.742217
-23.576435,-46.742289
-23.576458,-46.742363
-23.57647,-46.742418
-23.576474,-46.742451
-23.576493,-46.742498
-23.57661,-46.742685
-23.576671,-46.742777
-23.576724,-46.742848
-23.576754,-46.742891
-23.576892,-46.742982
-23.576925,-46.742996
-23.577138,-46.743079
-23.577258,-46.743099
-23.577458,-46.743152
-23.577551,-46.743191
-23.577646,-46.74325
-23.577702,-46.743294
-23.577786,-46.743384
-23.577806,-46.743433
-23.577852,-46.743555
-23.577879,-46.743732
-23.577891,-46.743911
-23.577909,-46.744199
-23.577922,-46.744294
-23.577964,-46.744564
-23.578006,-46.744702
-23.578062,-46.744858
-23.578119,-46.744951
-23.578179,-46.745033
-23.578364,-46.745103
-23.578382,-46.74511
-23.578735,-46.74516
-23.578872,-46.745175
-23.578947,-46.745208
-23.579014,-46.745291
-23.579108,-46.745485
-23.579126,-46.745548
-23.579141,-46.745628
-23.579135,-46.745707
-23.579094,-46.745849
-23.579072,-46.74591
-23.579038,-46.745977
-23.578949,-46.746104
-23.578685,-46.746489
-23.578582,-46.74666
-23.578499,-46.746824
-23.578469,-46.7469
-23.578231,-46.747532
-23.578104,-46.747876
-23.578048,-46.748083
-23.578039,-46.748175
-23.578037,-46.748257
-23.578033,-46.748329
-23.57804,-46.748427
-23.578048,-46.748557
-23.578059,-46.748678
-23.578098,-46.748785
-23.578154,-46.748892
-23.57826,-46.749025
-23.578357,-46.749122
-23.578505,-46.749245
-23.578754,-46.749442
-23.579014,-46.74964
-23.579119,-46.749691
-23.57923,-46.74971
-23.579387,-46.749692
-23.57951,-46.749656
-23.579804,-46.74947
-23.579999,-46.74943
-23.580127,-46.749453
-23.580293,-46.749561
-23.580382,-46.749653
-23.580516,-46.749834
-23.580657,-46.750004
-23.580757,-46.750072
-23.580862,-46.750108
-23.580957,-46.750106
-23.581065,-46.750063
-23.58142,-46.749837
-23.581738,-46.749636
-23.58183,-46.749576
-23.581946,-46.749528
-23.58205,-46.749507
-23.582162,-46.749507
-23.582374,-46.74961
-23.582659,-46.749702
-23.582745,-46.749704
-23.582812,-46.749701
-23.582954,-46.749683
-23.583159,-46.749662
-23.58323,-46.749643
-23.583342,-46.749707
-23.583447,-46.749765
-23.583534,-46.749846
-23.58358,-46.749916
-23.583627,-46.749991
-23.583649,-46.750073
-23.583646,-46.750179
-23.583627,-46.750265
-23.58349,-46.750638
-23.583449,-46.750739
-23.583441,-46.750793
-23.583438,-46.750921
-23.583468,-46.751079
-23.583481,-46.751168
-23.583532,-46.751259
-23.583595,-46.751381
-23.58364,-46.751464
-23.583777,-46.751609
-23.583909,-46.751729
-23.584051,-46.751736
-23.584302,-46.751779
-23.584566,-46.751828
-23.58464,-46.751844
-23.58471,-46.751872
-23.584806,-46.751947
-23.584881,-46.752062
-23.584906,-46.752112
-23.584926,-46.752216
-23.584932,-46.752339
-23.584905,-46.752421
-23.584858,-46.752511
-23.584686,-46.752848
-23.584547,-46.753088
-23.584421,-46.753313
-23.584382,-46.753404
-23.584362,-46.753541
-23.584357,-46.753717
-23.58441,-46.754051
-23.58453,-46.754677
-23.584582,-46.754799
-23.584604,-46.754845
-23.584636,-46.754896
-23.584744,-46.754985
-23.5848,-46.755009
-23.58502,-46.755098
-23.585205,-46.755174
-23.585354,-46.755234
-23.585471,-46.755284
-23.585568,-46.755371
-23.585662,-46.755536
-23.585315,-46.755771
-23.585083,-46.75594
-23.584856,-46.75611
-23.584808,-46.756121
-23.584889,-46.756298
-23.584977,-46.756403
-23.585138,-46.756562
-23.585045,-46.756783
-23.585269,-46.757021
-23.585402,-46.757168
-23.585521,-46.757265
-23.585645,-46.757422
-23.585686,-46.757505
-23.585768,-46.757673
-23.58583,-46.757759
-23.585903,-46.757851
-23.58596,-46.757906
-23.586011,-46.757952
-23.586053,-46.758008
-23.586071,-46.758046
-23.586075,-46.758143
-23.585991,-46.758717
-23.585938,-46.75894
-23.585913,-46.759053
-23.585839,-46.759315
-23.585723,-46.759705
-23.585512,-46.760101
-23.58533,-46.760451
-23.585289,-46.76054
-23.585263,-46.760629
-23.585199,-46.76067
-23.58513,-46.760717
-23.585044,-46.760729
-23.584819,-46.760751
-23.584686,-46.760764
-23.584247,-46.760784
-23.583799,-46.760821
-23.583671,-46.760828
-23.583128,-46.760871
-23.583061,-46.760883
-23.582977,-46.760907
-23.582869,-46.760962
-23.582738,-46.761031
-23.582596,-46.761105
-23.582545,-46.76114
-23.58259,-46.761262
-23.58262,-46.76134
-23.582646,-46.761382
-23.582722,-46.761514
-23.58276,-46.761574
-23.582781,-46.761602
-23.582828,-46.761658
-23.582913,-46.761738
-23.582973,-46.761785
-23.583121,-46.761888
-23.583216,-46.761937
-23.583249,-46.761951
-23.583281,-46.761959
-23.583423,-46.761994
-23.58361,-46.762005
-23.584062,-46.762037
-23.584333,-46.76207
-23.584374,-46.762078
-23.584477,-46.762108
-23.584374,-46.762078
-23.584333,-46.76207
-23.584062,-46.762037
-23.58361,-46.762005
-23.583423,-46.761994
-23.583281,-46.761959
-23.583249,-46.761951
-23.583216,-46.761937
