lat,long
-23.571826,-46.748443
-23.57173,-46.748494
-23.571641,-46.748544
-23.571097,-46.748843
-23.570781,-46.749016
-23.570646,-46.749091
-23.570545,-46.749148
-23.570362,-46.749247
-23.569884,-46.749504
-23.569148,-46.749897
-23.568941,-46.750009
-23.568814,-46.750081
-23.568499,-46.750254
-23.568306,-46.75036
-23.568184,-46.750428
-23.567971,-46.750545
-23.567817,-46.75063
-23.56764,-46.750726
-23.567461,-46.750826
-23.567381,-46.750883
-23.567305,-46.750936
-23.567133,-46.751126
-23.567079,-46.751075
-23.566647,-46.750746
-23.566603,-46.750684
-23.566473,-46.750552
-23.566435,-46.750577
-23.566402,-46.750593
-23.566322,-46.750608
-23.566201,-46.750619
-23.565974,-46.750695
-23.565892,-46.750688
-23.565811,-46.750847
-23.565753,-46.750908
-23.565719,-46.751016
-23.565669,-46.751069
-23.56556,-46.751165
-23.565526,-46.751193
-23.565446,-46.751256
-23.565395,-46.751261
-23.565446,-46.751256
-23.565526,-46.751193
-23.56556,-46.751165
-23.565669,-46.751069
-23.565719,-46.751016
-23.565753,-46.750908
-23.565811,-46.750847
-23.565892,-46.750688
-23.565927,-46.750601
-23.565964,-46.750468
-23.56598,-46.750349
-23.565996,-46.750245
-23.565971,-46.750059
-23.565956,-46.749974
-23.565943,-46.749933
-23.56589,-46.749771
-23.565855,-46.749703
-23.56579,-46.749593
-23.565699,-46.74947
-23.565467,-46.74915
-23.564918,-46.748389
-23.564898,-46.748363
-23.56488,-46.748322
-23.564948,-46.748282
-23.565335,-46.747936
-23.565489,-46.747961
-23.565699,-46.74799
-23.56581,-46.747985
-23.565943,-46.747963
-23.566072,-46.747935
-23.56619,-46.74789
-23.566348,-46.747794
-23.566614,-46.747598
-23.567129,-46.747212
-23.568572,-46.746124
-23.568737,-46.746004
-23.569808,-46.745191
-23.570257,-46.74486
-23.571102,-46.744226
-23.571433,-46.743971
-23.57178,-46.743714
-23.571849,-46.743664
-23.572438,-46.743223
-23.572619,-46.743089
-23.573027,-46.742795
-23.573225,-46.742647
-23.573792,-46.74223
-23.574011,-46.742073
-23.574367,-46.741807
-23.574723,-46.741541
-23.574957,-46.741369
-23.575026,-46.741314
-23.575227,-46.741164
-23.575664,-46.740856
-23.57622,-46.741929
-23.576271,-46.742027
-23.576324,-46.742092
-23.576341,-46.742112
-23.576381,-46.742174
-23.576399,-46.742199
-23.576408,-46.742217
-23.576435,-46.742289
-23.576458,-46.742363
-23.576483,-46.742301
-23.576515,-46.742265
-23.576627,-46.742181
-23.576767,-46.742068
-23.577097,-46.741799
-23.577309,-46.741626
-23.577455,-46.74151
-23.577564,-46.741424
-23.577634,-46.741359
-23.577705,-46.741298
-23.577788,-46.741155
-23.577954,-46.740984
-23.578004,-46.740914
-23.578119,-46.740754
-23.578395,-46.740348
-23.578882,-46.739607
-23.579289,-46.738865
-23.579528,-46.73844
-23.579597,-46.738323
-23.580126,-46.737348
-23.580523,-46.736634
-23.580798,-46.736131
-23.580815,-46.736092
-23.580949,-46.735791
-23.580991,-46.735673
-23.581132,-46.735329
-23.581224,-46.735116
-23.581316,-46.734864
-23.58142,-46.734662
-23.58154,-46.734502
-23.581564,-46.734429
-23.581596,-46.734384
-23.581707,-46.734289
-23.581854,-46.73416
-23.581905,-46.734195
-23.581961,-46.73421
-23.582036,-46.734192
-23.582077,-46.734139
-23.582097,-46.734066
-23.582098,-46.734004
-23.582175,-46.733942
-23.582292,-46.733841
-23.582371,-46.73377
-23.582438,-46.733749
-23.582478,-46.733753
-23.582529,-46.733763
-23.582566,-46.733787
-23.582581,-46.73381
-23.58275,-46.733692
-23.582898,-46.733909
-23.583176,-46.734364
-23.583419,-46.734849
-23.58351,-46.735046
-23.583685,-46.735448
-23.583764,-46.735718
-23.583822,-46.735902
-23.583903,-46.736267
-23.583966,-46.736482
-23.584163,-46.737095
-23.584299,-46.737708
-23.584344,-46.737889
-23.584356,-46.737992
-23.584381,-46.738109
-23.58442,-46.738235
-23.584481,-46.73834
-23.584595,-46.738347
-23.584728,-46.738325
-23.58504,-46.738177
-23.585099,-46.738119
-23.585159,-46.738038
-23.585179,-46.737982
-23.585178,-46.737929
-23.585158,-46.737853
-23.585117,-46.737762
-23.585061,-46.737697
-23.585028,-46.737657
-23.584938,-46.737554
-23.584697,-46.737209
-23.584598,-46.73702
-23.584514,-46.736801
-23.584438,-46.736623
-23.584301,-46.73628
-23.58412,-46.735832
-23.58375,-46.734909
-23.583659,-46.734694
-23.58359,-46.734551
-23.583309,-46.734083
-23.583111,-46.733774
-23.582862,-46.733385
-23.58281,-46.733312
-23.582651,-46.733041
-23.582434,-46.732599
-23.582191,-46.732038
-23.581822,-46.731213
-23.581675,-46.730873
-23.581646,-46.730812
-23.581509,-46.730503
-23.581322,-46.730091
-23.581097,-46.729588
-23.58092,-46.729184
-23.580714,-46.72892
-23.580504,-46.728746
-23.580157,-46.728618
-23.580013,-46.72859
-23.579495,-46.728445
-23.579396,-46.728399
-23.579237,-46.72831
-23.579132,-46.728228
-23.579097,-46.72819
-23.579053,-46.728144
-23.578989,-46.728047
-23.578963,-46.728007
-23.578881,-46.727854
-23.578811,-46.727695
-23.578579,-46.727109
-23.578459,-46.726819
-23.578427,-46.726717
-23.578374,-46.726565
-23.578181,-46.726058
-23.578152,-46.725986
-23.57807,-46.725841
-23.577998,-46.725678
-23.577921,-46.725463
-23.577829,-46.725156
-23.577769,-46.724972
-23.577598,-46.724295
-23.577787,-46.724224
-23.57731,-46.722482
-23.577227,-46.722241
-23.577064,-46.721902
-23.576997,-46.721789
-23.576826,-46.721515
-23.576669,-46.721284
-23.576561,-46.721125
-23.576381,-46.72084
-23.576566,-46.720825
-23.576797,-46.720838
-23.576847,-46.720828
-23.576993,-46.720791
-23.577671,-46.720592
-23.577949,-46.720533
-23.578165,-46.720517
-23.578473,-46.720519
-23.578809,-46.720568
-23.579135,-46.720661
-23.579261,-46.720703
-23.579525,-46.720823
-23.579594,-46.720861
-23.579678,-46.7209
-23.57974,-46.72093
-23.579804,-46.720945
-23.57989,-46.720949
-23.57994,-46.720932
-23.579971,-46.72092
-23.580103,-46.720874
-23.580288,-46.720829
-23.580049,-46.720502
-23.57984,-46.720213
-23.579677,-46.72002
-23.579383,-46.719717
-23.579188,-46.719487
-23.57909,-46.719321
-23.57894,-46.719038
-23.578864,-46.718822
-23.578835,-46.718699
-23.5788,-46.718521
-23.578767,-46.71822
-23.57878,-46.717833
-23.578812,-46.71762
-23.578832,-46.717369
-23.578834,-46.717116
-23.578825,-46.716902
-23.578786,-46.716577
-23.578756,-46.71647
-23.578686,-46.716231
-23.578597,-46.715958
-23.578423,-46.715594
-23.578321,-46.715439
-23.578226,-46.715314
-23.578018,-46.715056
-23.577968,-46.715001
-23.577803,-46.714851
-23.577516,-46.714638
-23.577256,-46.71448
-23.576822,-46.714229
-23.576895,-46.714161
-23.576961,-46.714084
-23.577075,-46.713953
-23.577157,-46.713857
-23.577219,-46.71375
-23.577354,-46.713517
-23.577554,-46.71317
-23.577747,-46.712833
-23.577937,-46.712512
-23.578346,-46.71178
-23.578668,-46.711158
-23.578804,-46.711004
-23.578843,-46.710985
-23.578954,-46.710931
-23.578981,-46.710921
-23.579023,-46.710905
-23.579048,-46.7109
-23.579228,-46.710859
-23.579347,-46.710835
-23.579412,-46.710821
-23.57949,-46.710806
-23.579546,-46.710786
-23.579598,-46.710769
-23.579611,-46.710758
-23.579702,-46.71066
-23.579458,-46.710421
-23.579343,-46.71031
-23.579159,-46.710032
-23.578578,-46.709052
-23.578497,-46.708909
-23.578281,-46.708588
