lat,long
-23.550045,-46.682265
-23.550142,-46.682195
-23.550267,-46.68211
-23.550453,-46.682404
-23.550611,-46.682671
-23.550712,-46.682827
-23.550574,-46.682856
-23.550257,-46.682909
-23.549743,-46.682924
-23.549666,-46.682922
-23.549576,-46.682915
-23.549587,-46.682572
-23.549622,-46.681505
-23.549724,-46.681436
-23.549732,-46.681263
-23.549785,-46.681034
-23.549831,-46.680852
-23.549847,-46.680748
-23.54988,-46.680524
-23.549898,-46.680355
-23.549938,-46.679903
-23.549991,-46.679672
-23.550002,-46.679632
-23.550273,-46.678922
-23.550327,-46.678773
-23.550441,-46.67851
-23.550536,-46.678365
-23.550768,-46.678032
-23.550999,-46.67771
-23.551227,-46.677391
-23.551309,-46.677273
-23.551412,-46.677128
-23.551581,-46.676853
-23.551757,-46.676577
-23.55188,-46.676338
-23.551997,-46.676086
-23.552058,-46.675958
-23.552108,-46.675856
-23.552203,-46.675627
-23.552368,-46.675234
-23.552745,-46.674318
-23.552919,-46.673887
-23.553809,-46.671692
-23.553928,-46.671405
-23.554125,-46.670923
-23.554311,-46.670466
-23.554475,-46.670064
-23.554562,-46.669857
-23.554615,-46.669744
-23.554824,-46.669317
-23.5551,-46.668656
-23.555488,-46.667724
-23.555718,-46.667181
-23.555899,-46.666774
-23.555964,-46.666617
-23.556085,-46.666352
-23.556253,-46.665998
-23.556297,-46.665908
-23.556347,-46.665775
-23.556407,-46.665609
-23.556446,-46.665486
-23.55648,-46.665361
-23.556501,-46.665232
-23.556526,-46.665075
-23.55654,-46.664868
-23.55654,-46.664738
-23.556542,-46.664569
-23.556542,-46.66448
-23.556446,-46.664054
-23.556424,-46.663965
-23.556288,-46.663709
-23.556128,-46.663421
-23.556002,-46.663218
-23.555931,-46.663109
-23.555738,-46.662879
-23.555706,-46.662844
-23.55566,-46.66279
-23.555064,-46.662069
-23.554684,-46.6616
-23.554032,-46.660795
-23.553781,-46.660493
-23.553397,-46.659942
-23.553108,-46.659502
-23.552835,-46.659094
-23.552584,-46.658728
-23.552424,-46.658474
-23.552297,-46.658251
-23.552186,-46.658037
-23.552026,-46.657713
-23.551672,-46.657014
-23.550766,-46.655279
-23.550317,-46.654444
-23.549912,-46.653719
