lat,long
-23.534294,-46.644673
-23.534321,-46.64472
-23.534451,-46.64494
-23.53447,-46.644973
-23.534513,-46.645045
-23.534407,-46.64513
-23.534379,-46.645139
-23.534353,-46.645147
-23.534332,-46.645147
-23.534303,-46.645139
-23.533961,-46.644546
-23.53394,-46.644511
-23.533912,-46.644462
-23.533819,-46.644431
-23.533884,-46.644381
-23.534231,-46.644141
-23.53472,-46.643801
-23.535259,-46.643424
-23.5365,-46.642561
-23.536594,-46.642495
-23.537238,-46.642008
-23.537585,-46.641746
-23.538282,-46.641224
-23.538943,-46.640728
-23.53942,-46.640368
-23.539563,-46.64032
-23.539635,-46.640205
-23.539844,-46.640045
-23.540315,-46.639689
-23.5406,-46.639474
-23.541214,-46.639012
-23.541324,-46.638931
-23.541926,-46.638465
-23.542325,-46.638155
-23.54244,-46.638049
-23.542494,-46.637999
-23.542506,-46.63795
-23.542514,-46.637922
-23.542537,-46.637892
-23.542569,-46.637864
-23.542591,-46.637848
-23.542611,-46.637833
-23.542688,-46.637785
-23.542767,-46.637738
-23.542837,-46.637694
-23.54292,-46.637642
-23.542955,-46.637619
-23.543012,-46.637584
-23.543037,-46.637572
-23.542985,-46.63708
-23.542979,-46.637016
-23.542948,-46.636712
-23.542941,-46.636639
-23.542913,-46.636406
-23.542662,-46.636277
-23.542491,-46.636211
-23.54244,-46.636192
-23.542347,-46.636156
-23.542258,-46.636122
-23.542221,-46.636108
-23.542144,-46.636078
-23.542113,-46.636066
-23.542085,-46.636055
-23.54206,-46.636046
-23.542032,-46.636035
-23.541342,-46.63578
-23.541206,-46.635702
-23.541152,-46.635672
-23.541012,-46.635626
-23.54133,-46.634624
-23.541347,-46.634569
-23.541399,-46.634413
-23.541411,-46.634382
-23.541419,-46.634363
-23.541457,-46.634386
-23.541614,-46.634487
-23.541899,-46.634668
-23.542138,-46.634848
-23.542259,-46.634939
-23.54274,-46.635302
-23.542848,-46.635372
-23.542889,-46.635391
-23.543086,-46.635483
-23.543291,-46.635575
-23.543463,-46.635653
-23.543526,-46.635687
-23.543645,-46.635763
-23.543986,-46.635971
-23.544425,-46.636256
-23.545439,-46.636906
-23.545908,-46.637232
-23.547029,-46.638025
-23.547717,-46.638443
-23.54788,-46.638562
