lat,long
-23.609363,-46.54193
-23.609232,-46.541823
-23.608746,-46.541449
-23.608688,-46.5414
-23.608564,-46.541265
-23.608235,-46.541014
-23.608063,-46.540904
-23.607776,-46.540719
-23.607459,-46.540592
-23.60727,-46.540545
-23.607076,-46.540532
-23.606873,-46.540551
-23.606756,-46.540579
-23.606449,-46.540653
-23.60621,-46.540704
-23.606023,-46.540689
-23.60584,-46.540663
-23.605598,-46.540622
-23.605325,-46.540581
-23.605159,-46.540557
-23.604829,-46.540513
-23.604665,-46.540502
-23.604476,-46.540471
-23.60441,-46.540474
-23.604338,-46.54108
-23.60429,-46.541368
-23.604239,-46.541503
-23.604156,-46.541651
-23.604089,-46.541747
-23.604033,-46.541809
-23.603927,-46.541891
-23.60382,-46.541957
-23.603712,-46.542003
-23.603269,-46.542137
-23.603322,-46.542332
-23.603361,-46.542516
-23.602813,-46.542655
-23.602665,-46.542694
-23.60242,-46.542764
-23.602333,-46.542797
-23.602139,-46.542875
-23.60203,-46.542931
-23.601949,-46.542991
-23.601866,-46.543062
-23.601773,-46.543161
-23.601613,-46.543343
-23.601542,-46.54345
-23.601476,-46.543585
-23.601437,-46.543716
-23.601392,-46.543842
-23.60136,-46.543962
-23.601349,-46.544127
-23.601357,-46.5444
-23.601378,-46.544693
-23.601466,-46.545567
-23.601544,-46.546172
-23.601577,-46.546465
-23.601614,-46.546724
-23.601634,-46.547042
-23.601654,-46.547372
-23.601627,-46.547852
-23.601531,-46.548213
-23.601445,-46.548395
-23.601282,-46.548738
-23.601038,-46.549216
-23.600886,-46.549506
-23.600696,-46.549889
-23.600436,-46.550407
-23.60004,-46.551205
-23.599939,-46.551418
-23.599842,-46.551605
-23.599742,-46.551755
-23.599567,-46.551932
-23.599487,-46.551998
-23.599107,-46.552265
-23.598945,-46.552406
-23.598792,-46.552549
-23.598605,-46.552806
-23.598562,-46.552878
-23.598508,-46.553039
-23.598422,-46.553345
-23.598367,-46.553444
-23.598281,-46.553579
-23.598147,-46.55372
-23.59797,-46.55387
-23.597852,-46.554021
-23.597763,-46.554159
-23.597675,-46.554311
-23.59762,-46.554401
-23.597508,-46.554529
-23.597373,-46.554681
-23.597181,-46.554842
-23.597032,-46.55495
-23.596895,-46.55505
-23.596836,-46.55511
-23.596708,-46.555242
-23.596619,-46.555343
-23.596525,-46.555481
-23.596493,-46.555532
-23.596475,-46.555564
-23.596411,-46.555682
-23.596378,-46.555744
-23.596216,-46.556217
-23.596195,-46.556269
-23.595943,-46.557006
-23.595886,-46.557171
-23.595685,-46.557745
-23.595665,-46.557858
-23.595661,-46.558046
-23.595685,-46.55814
-23.595776,-46.558282
-23.595965,-46.558471
-23.596082,-46.558548
-23.59615,-46.558582
-23.596446,-46.558721
-23.59668,-46.558782
-23.596752,-46.558867
-23.596764,-46.558913
-23.596812,-46.558931
-23.596929,-46.559043
-23.597028,-46.559119
-23.597188,-46.559244
-23.597246,-46.55929
-23.597306,-46.559324
-23.59733,-46.559339
-23.597358,-46.559354
-23.597378,-46.559366
-23.59746,-46.559647
-23.597464,-46.559683
-23.59747,-46.559755
-23.597564,-46.560064
-23.59761,-46.56021
-23.597689,-46.560475
-23.597762,-46.560752
-23.597789,-46.560934
-23.5978,-46.56113
-23.597799,-46.561166
-23.597788,-46.561275
-23.597763,-46.561394
-23.597724,-46.561562
-23.597548,-46.562214
-23.597467,-46.562502
-23.597397,-46.562773
-23.597364,-46.562968
-23.597344,-46.563138
-23.597363,-46.563753
-23.597362,-46.565179
-23.59735,-46.56525
-23.597335,-46.565302
-23.597113,-46.565667
-23.597044,-46.565738
-23.597058,-46.565904
-23.597088,-46.566022
-23.597126,-46.566114
-23.597232,-46.566291
-23.597312,-46.56643
-23.597389,-46.566748
-23.597345,-46.566934
-23.597308,-46.567014
-23.59718,-46.567173
-23.596994,-46.567304
-23.596808,-46.567431
-23.596735,-46.567541
-23.596695,-46.56765
-23.596565,-46.567999
-23.596523,-46.56812
-23.596491,-46.568152
-23.596487,-46.568214
-23.59642,-46.568394
-23.59636,-46.568579
-23.596327,-46.568707
-23.596262,-46.568975
-23.596171,-46.569358
-23.596119,-46.569572
-23.596085,-46.569723
-23.596078,-46.569886
-23.596117,-46.570343
-23.596152,-46.570717
-23.596204,-46.57139
-23.596255,-46.57202
-23.596388,-46.573559
-23.596455,-46.574323
-23.596481,-46.574611
-23.596495,-46.574766
-23.596483,-46.574913
-23.596436,-46.575027
-23.596381,-46.575095
-23.596348,-46.575141
-23.596236,-46.575265
-23.596044,-46.575468
-23.595618,-46.575915
-23.595385,-46.576168
-23.595075,-46.576577
-23.594958,-46.576756
-23.594738,-46.577133
-23.594491,-46.577561
-23.593904,-46.57857
-23.593628,-46.579041
-23.593607,-46.57921
-23.593697,-46.579181
-23.593758,-46.579158
-23.594009,-46.579034
-23.594197,-46.578941
-23.594821,-46.578655
-23.595211,-46.578469
-23.595306,-46.578417
-23.59537,-46.578379
-23.595496,-46.578303
-23.595523,-46.5783
-23.595537,-46.578273
-23.595594,-46.578225
-23.595657,-46.578172
-23.595733,-46.578096
-23.595808,-46.578018
-23.595933,-46.577885
-23.595958,-46.577858
-23.596087,-46.577719
-23.596104,-46.577693
-23.596117,-46.577689
-23.596191,-46.577614
-23.596264,-46.57756
-23.596536,-46.577367
-23.596773,-46.577206
-23.59694,-46.577102
-23.597041,-46.577062
-23.597231,-46.577035
-23.597418,-46.577038
-23.597686,-46.577048
-23.597835,-46.577012
-23.597957,-46.576927
-23.59821,-46.57667
-23.598326,-46.576559
-23.5985,-46.576403
-23.598686,-46.576258
-23.598741,-46.576233
-23.598883,-46.576175
-23.599039,-46.576178
-23.59917,-46.576188
-23.599776,-46.576455
-23.5999,-46.576531
-23.600181,-46.576751
-23.600277,-46.576829
-23.600369,-46.576888
-23.600417,-46.576916
-23.600498,-46.576929
-23.600714,-46.577005
-23.600806,-46.577002
-23.60104,-46.576993
-23.601698,-46.576989
-23.602069,-46.576986
-23.602364,-46.576982
-23.602571,-46.577074
-23.60258,-46.577868
-23.602689,-46.578188
-23.603625,-46.578146
-23.604019,-46.578136
-23.605321,-46.578681
-23.605945,-46.578941
-23.606564,-46.579195
-23.607184,-46.579425
-23.607674,-46.57949
-23.607439,-46.579608
-23.606692,-46.580067
-23.606439,-46.580195
-23.605892,-46.580517
-23.605767,-46.580591
-23.605269,-46.580938
-23.604907,-46.581184
-23.604559,-46.581427
-23.604065,-46.581772
-23.603501,-46.582179
-23.603283,-46.582333
-23.602325,-46.583051
-23.601934,-46.583393
-23.601892,-46.5834
-23.601846,-46.583467
-23.601484,-46.583777
-23.600661,-46.584472
-23.599503,-46.585461
-23.598341,-46.586443
-23.59734,-46.587288
-23.596546,-46.587978
-23.595811,-46.588613
-23.594278,-46.589906
-23.593965,-46.590167
-23.59389,-46.590231
-23.593826,-46.59029
-23.593766,-46.590339
-23.593625,-46.590467
-23.594155,-46.590983
-23.594463,-46.591231
-23.594386,-46.591298
-23.594307,-46.591371
-23.593949,-46.591654
-23.593402,-46.592124
-23.592742,-46.59122
-23.593087,-46.59092
-23.593625,-46.590467
-23.593766,-46.590339
-23.593826,-46.59029
