lat,long
-23.518664,-46.423697
-23.518592,-46.423681
-23.518443,-46.423649
-23.518165,-46.42359
-23.517991,-46.423549
-23.51773,-46.423484
-23.517176,-46.423345
-23.516718,-46.42324
-23.51655,-46.423199
-23.516268,-46.423119
-23.516163,-46.423045
-23.516106,-46.423111
-23.515918,-46.423327
-23.515633,-46.423658
-23.51557,-46.423754
-23.515421,-46.423949
-23.515111,-46.424316
-23.514885,-46.424576
-23.514775,-46.424692
-23.51475,-46.424725
-23.514612,-46.424853
-23.514136,-46.425177
-23.514073,-46.425214
-23.51387,-46.42536
-23.513832,-46.425384
-23.513667,-46.425537
-23.513602,-46.425618
-23.513569,-46.425655
-23.51353,-46.42573
-23.513352,-46.426105
-23.513279,-46.426296
-23.513138,-46.426613
-23.513104,-46.426721
-23.513087,-46.426775
-23.512992,-46.426992
-23.51292,-46.427114
-23.512898,-46.42714
-23.512847,-46.42719
-23.512798,-46.427232
-23.512683,-46.427293
-23.512439,-46.427395
-23.512385,-46.427417
-23.512336,-46.427445
-23.512181,-46.427559
-23.512108,-46.427631
-23.512009,-46.427746
-23.51177,-46.428027
-23.511421,-46.428433
-23.511338,-46.428537
-23.511206,-46.428676
-23.511088,-46.428772
-23.51099,-46.428846
-23.510838,-46.428972
-23.510346,-46.429346
-23.510364,-46.429419
-23.510469,-46.429767
-23.510623,-46.430213
-23.51073,-46.430504
-23.510789,-46.430605
-23.510796,-46.430682
-23.510826,-46.430761
-23.510843,-46.430794
-23.510977,-46.431062
-23.511034,-46.431187
-23.511115,-46.431385
-23.511143,-46.431441
-23.511188,-46.431517
-23.511215,-46.431563
-23.511239,-46.431601
-23.51129,-46.431683
-23.511364,-46.431767
-23.511379,-46.431783
-23.511467,-46.431856
-23.511498,-46.431879
-23.51169,-46.432014
-23.511758,-46.432049
-23.511934,-46.432146
-23.511944,-46.432151
-23.512028,-46.432212
-23.512071,-46.432242
-23.512153,-46.432324
-23.512212,-46.432394
-23.512275,-46.43247
