lat,long
-23.593687,-46.498467
-23.593658,-46.498487
-23.593513,-46.49874
-23.593465,-46.498821
-23.593422,-46.498908
-23.593372,-46.499
-23.593332,-46.49909
-23.593306,-46.499199
-23.59323,-46.499763
-23.593818,-46.49968
-23.594215,-46.499629
-23.594402,-46.499602
-23.594396,-46.499674
-23.594399,-46.49974
-23.594447,-46.499874
-23.594484,-46.499932
-23.594525,-46.499977
-23.594576,-46.500005
-23.594641,-46.50002
-23.594696,-46.500022
-23.594751,-46.500017
-23.594801,-46.500019
-23.594875,-46.500006
-23.594977,-46.499977
-23.595044,-46.499977
-23.595324,-46.499904
-23.595367,-46.499887
-23.595692,-46.500031
-23.596042,-46.500178
-23.596381,-46.500326
-23.596474,-46.500371
-23.596872,-46.500579
-23.596824,-46.5007
-23.596718,-46.500958
-23.59667,-46.501077
-23.596594,-46.501263
-23.596554,-46.50129
-23.596566,-46.501333
-23.596521,-46.501448
-23.596393,-46.501748
-23.596367,-46.501815
-23.596227,-46.502209
-23.596172,-46.502398
-23.596003,-46.502474
-23.595402,-46.502749
-23.595262,-46.502765
-23.59518,-46.502773
-23.595008,-46.50277
-23.594945,-46.502769
-23.594845,-46.502767
-23.594789,-46.502766
-23.594741,-46.502765
-23.594699,-46.502764
-23.594682,-46.502766
-23.594601,-46.502775
-23.59452,-46.50281
-23.594478,-46.50285
-23.59445,-46.502878
-23.594424,-46.502929
-23.594418,-46.502942
-23.594427,-46.503001
-23.594452,-46.503063
-23.59446,-46.503082
-23.5945,-46.503145
-23.59456,-46.503201
-23.594698,-46.503298
-23.594955,-46.503476
-23.59488,-46.503648
-23.59471,-46.504039
-23.594605,-46.504264
-23.594366,-46.504799
-23.594217,-46.505139
-23.594612,-46.505367
-23.594828,-46.505486
-23.594988,-46.505576
-23.595216,-46.505706
-23.595355,-46.50578
-23.595727,-46.505989
-23.596051,-46.506169
-23.5961,-46.506204
-23.596157,-46.506252
-23.596221,-46.50634
-23.596271,-46.506434
-23.596388,-46.506799
-23.596412,-46.506884
-23.596454,-46.506995
-23.596486,-46.507066
-23.596524,-46.507118
-23.596576,-46.507164
-23.596671,-46.507191
-23.596881,-46.507232
-23.59725,-46.507306
-23.597343,-46.507336
-23.597396,-46.507368
-23.597423,-46.507381
-23.597464,-46.507431
-23.597483,-46.507463
-23.597502,-46.507526
-23.5975,-46.507608
-23.597503,-46.507701
-23.59747,-46.508068
-23.597418,-46.508712
-23.59736,-46.509304
-23.597316,-46.509801
-23.597321,-46.510039
-23.597499,-46.510179
-23.5978,-46.510415
-23.59796,-46.510545
-23.598009,-46.510617
-23.598055,-46.51075
-23.5981,-46.511239
-23.598182,-46.512152
-23.598251,-46.512855
-23.598367,-46.512907
-23.598562,-46.51296
-23.599013,-46.513064
-23.598845,-46.513172
-23.598526,-46.513322
-23.598366,-46.513394
-23.598238,-46.513443
-23.598113,-46.513465
-23.598082,-46.513475
-23.597984,-46.513487
-23.597698,-46.51349
-23.597378,-46.513485
-23.597169,-46.513482
-23.597106,-46.513487
-23.596969,-46.513499
-23.596883,-46.513536
-23.596772,-46.513569
-23.596551,-46.513649
-23.596158,-46.513794
-23.5958,-46.513916
-23.59579,-46.51408
-23.595793,-46.51413
-23.595797,-46.514179
-23.595835,-46.514377
-23.595855,-46.514425
-23.595886,-46.514502
-23.595903,-46.514547
-23.596189,-46.514907
-23.59643,-46.515205
-23.596494,-46.515312
-23.59653,-46.515411
-23.596551,-46.515483
-23.596589,-46.515894
-23.596646,-46.516486
-23.596677,-46.516752
-23.596668,-46.517071
-23.596578,-46.517257
-23.596516,-46.51735
-23.596399,-46.517481
-23.596334,-46.517522
-23.596113,-46.51769
-23.595642,-46.518012
-23.595275,-46.518293
-23.595222,-46.518328
-23.595065,-46.51847
-23.594702,-46.518757
-23.594605,-46.51883
-23.594372,-46.518978
-23.593577,-46.519502
-23.593302,-46.519686
-23.593252,-46.51972
-23.593211,-46.519739
-23.593131,-46.519759
-23.593081,-46.519763
-23.593008,-46.519762
-23.592911,-46.519735
-23.592823,-46.519717
-23.592304,-46.519594
-23.591994,-46.51952
-23.591826,-46.51948
-23.591554,-46.519415
-23.59141,-46.519377
-23.591186,-46.519321
-23.591117,-46.519323
-23.591053,-46.519326
-23.590474,-46.519492
-23.590341,-46.519561
-23.590258,-46.51963
-23.590158,-46.519704
-23.590097,-46.519712
-23.590073,-46.519772
-23.589524,-46.520247
-23.589361,-46.520377
-23.589234,-46.520465
-23.58915,-46.520482
-23.589089,-46.520477
-23.589049,-46.520463
-23.589015,-46.520451
-23.588973,-46.520429
-23.588902,-46.520363
-23.588726,-46.520157
-23.588337,-46.519706
-23.588216,-46.519577
-23.588173,-46.519531
-23.587994,-46.519394
-23.587918,-46.519355
-23.587816,-46.519299
-23.587642,-46.519226
-23.587402,-46.519144
-23.587205,-46.519086
-23.58642,-46.518841
-23.586047,-46.518722
-23.58575,-46.518634
-23.585696,-46.518785
-23.58565,-46.518914
-23.585578,-46.519103
-23.585484,-46.519361
-23.585373,-46.519648
-23.585311,-46.519811
-23.585272,-46.51989
-23.585225,-46.519992
-23.584941,-46.520507
-23.584801,-46.520752
-23.584735,-46.520865
-23.584663,-46.521024
-23.584656,-46.521107
-23.584675,-46.521282
-23.584701,-46.521541
-23.584765,-46.522162
-23.584777,-46.522273
-23.584783,-46.522349
-23.584815,-46.522653
-23.584818,-46.522705
-23.584872,-46.523174
-23.584909,-46.523524
-23.584918,-46.523599
-23.584963,-46.524052
-23.585014,-46.524513
-23.585032,-46.524714
-23.585052,-46.524898
-23.585009,-46.524961
-23.584954,-46.525042
-23.584918,-46.52511
-23.584859,-46.525233
-23.58483,-46.525288
-23.58479,-46.525424
-23.584789,-46.525475
-23.584792,-46.5255
-23.584823,-46.525595
-23.584879,-46.525712
-23.584988,-46.525923
-23.585025,-46.526033
-23.585112,-46.526204
-23.585148,-46.526163
-23.58515,-46.526104
-23.585139,-46.525749
-23.585502,-46.525707
-23.585659,-46.525674
-23.58571,-46.525658
-23.585869,-46.525966
-23.585964,-46.52617
-23.586109,-46.526476
-23.586243,-46.52676
-23.58676,-46.527844
-23.586981,-46.528309
-23.587118,-46.528603
-23.587312,-46.529018
-23.587415,-46.52922
-23.588119,-46.529709
-23.589107,-46.530413
-23.589203,-46.530483
-23.589317,-46.530571
-23.589556,-46.53074
-23.589642,-46.530759
-23.589741,-46.530887
-23.589788,-46.530949
-23.589873,-46.531173
-23.590021,-46.530842
-23.590062,-46.530786
-23.590122,-46.530704
-23.590279,-46.530516
-23.590499,-46.530255
-23.59059,-46.530148
-23.591106,-46.529572
-23.591617,-46.528962
-23.592097,-46.528427
-23.592179,-46.528335
-23.592311,-46.5282
-23.592561,-46.527934
-23.592865,-46.527629
-23.593151,-46.527342
-23.593207,-46.527293
-23.593829,-46.526647
-23.594217,-46.526255
-23.594534,-46.525932
-23.594729,-46.525787
-23.594675,-46.526062
-23.594635,-46.526292
-23.594616,-46.526404
-23.594603,-46.526498
-23.594578,-46.526647
-23.594536,-46.526746
-23.594483,-46.526861
-23.594397,-46.52706
-23.594319,-46.527175
-23.594267,-46.527232
-23.594223,-46.527285
-23.593947,-46.527542
-23.593626,-46.52786
-23.593388,-46.528086
-23.593241,-46.528212
-23.593193,-46.528258
-23.59314,-46.528313
-23.592929,-46.528556
-23.591917,-46.529726
-23.591503,-46.5302
-23.591434,-46.530301
-23.591289,-46.530554
-23.591268,-46.530595
-23.591171,-46.530781
-23.591016,-46.531063
-23.590892,-46.531276
-23.590727,-46.531551
-23.590605,-46.531711
-23.590518,-46.531791
-23.590368,-46.531885
-23.590269,-46.531941
-23.590172,-46.531995
-23.590022,-46.532064
-23.5899,-46.5321
-23.589743,-46.532118
-23.589617,-46.532126
-23.589296,-46.53216
-23.588633,-46.532251
-23.588065,-46.532331
-23.587952,-46.532343
-23.587725,-46.532375
-23.587656,-46.532389
-23.587436,-46.532957
-23.587188,-46.533583
-23.587136,-46.533707
-23.587059,-46.533908
-23.586955,-46.53416
-23.586851,-46.534415
-23.586668,-46.534867
-23.586536,-46.535192
-23.585822,-46.53696
-23.585723,-46.537203
-23.585579,-46.537556
-23.585049,-46.538862
-23.584808,-46.539479
-23.584684,-46.539802
-23.584323,-46.540742
-23.583979,-46.541681
-23.5844,-46.541872
-23.584603,-46.541967
-23.58508,-46.542183
-23.585291,-46.542278
-23.585699,-46.542472
-23.586108,-46.542658
-23.586137,-46.54267
-23.586536,-46.542861
-23.58698,-46.54306
-23.587405,-46.543249
-23.587523,-46.543302
-23.588162,-46.543601
-23.587866,-46.543819
-23.58745,-46.5441
-23.58743,-46.544116
-23.586893,-46.544546
-23.586624,-46.544792
-23.586609,-46.544803
-23.586267,-46.545112
-23.586217,-46.545152
-23.586152,-46.545205
-23.585803,-46.545369
-23.58568,-46.54543
-23.585315,-46.545638
-23.585254,-46.545738
-23.585205,-46.545807
-23.585032,-46.546132
-23.584961,-46.546248
-23.584899,-46.546335
-23.584689,-46.546506
-23.584553,-46.546618
-23.584463,-46.546674
-23.584288,-46.546842
-23.584111,-46.54701
-23.583719,-46.547391
-23.583644,-46.547472
-23.58361,-46.547594
-23.583536,-46.547919
-23.583477,-46.548166
-23.583415,-46.548365
-23.583346,-46.548558
-23.583271,-46.548754
-23.583086,-46.549205
-23.58293,-46.549614
-23.582763,-46.550051
-23.582694,-46.550205
-23.582601,-46.550469
-23.582472,-46.550785
-23.582283,-46.551236
-23.582209,-46.551475
-23.582065,-46.551929
-23.581882,-46.552639
-23.58167,-46.553424
-23.581503,-46.554106
-23.581341,-46.554727
-23.581223,-46.5552
-23.581155,-46.555471
-23.581115,-46.555646
-23.581038,-46.556275
-23.581029,-46.556387
-23.581012,-46.556545
-23.580962,-46.557081
-23.580909,-46.557564
-23.580873,-46.557881
-23.580755,-46.559007
-23.580723,-46.559391
-23.580708,-46.559593
-23.58069,-46.559774
-23.58069,-46.559877
-23.580763,-46.560266
-23.580935,-46.56104
-23.581012,-46.56135
-23.58116,-46.562013
-23.581228,-46.562309
-23.581293,-46.562579
-23.581388,-46.563004
-23.581422,-46.563187
-23.581447,-46.563327
-23.581438,-46.563687
-23.581432,-46.563909
-23.581428,-46.564099
-23.582331,-46.564152
-23.582435,-46.564147
-23.582496,-46.564733
-23.582569,-46.565538
-23.582614,-46.566019
-23.582748,-46.567479
-23.582794,-46.568009
-23.58283,-46.568449
-23.582835,-46.568517
-23.582843,-46.568653
-23.582845,-46.568687
-23.582846,-46.568715
-23.582856,-46.56892
-23.582843,-46.569453
-23.582836,-46.57013
-23.582836,-46.570336
-23.582835,-46.570483
-23.582829,-46.570662
-23.582814,-46.571006
-23.582803,-46.571254
-23.582789,-46.571528
-23.582775,-46.571918
-23.582774,-46.572328
-23.582775,-46.5726
-23.582789,-46.572821
-23.582826,-46.573344
-23.582932,-46.573902
-23.582969,-46.574081
-23.583085,-46.574431
-23.583131,-46.574566
-23.583249,-46.574873
-23.583327,-46.575076
-23.583432,-46.57531
-23.583459,-46.575375
-23.583633,-46.575576
-23.583682,-46.575642
-23.583847,-46.576031
-23.584018,-46.576432
-23.584038,-46.576746
-23.584068,-46.576819
-23.584143,-46.57705
-23.584184,-46.577213
-23.584365,-46.57837
-23.58457,-46.579772
-23.584761,-46.581005
-23.584822,-46.581408
-23.584904,-46.58192
-23.584945,-46.582192
-23.584787,-46.582561
