lat,long
-23.60342,-46.60241
-23.60361,-46.60267
-23.60343,-46.60297
-23.60334,-46.6031
-23.60328,-46.60319
-23.60327,-46.6032
-23.60325,-46.60321
-23.60323,-46.60321
-23.60321,-46.60321
-23.60287,-46.60295
-23.60269,-46.60281
-23.60261,-46.60275
-23.60257,-46.60273
-23.60253,-46.60271
-23.6025,-46.60271
-23.60248,-46.60272
-23.60244,-46.60276
-23.60242,-46.60281
-23.60241,-46.60286
-23.60242,-46.60291
-23.60244,-46.60297
-23.60247,-46.60301
-23.6025,-46.60304
-23.60254,-46.60306
-23.60257,-46.60308
-23.60264,-46.60311
-23.60271,-46.60314
-23.60284,-46.60318
-23.60289,-46.6032
-23.60294,-46.60323
-23.60303,-46.60329
-23.60321,-46.60342
-23.60326,-46.60346
-23.60332,-46.60348
-23.60337,-46.60348
-23.60345,-46.60347
-23.6035,-46.60345
-23.60354,-46.60342
-23.60359,-46.60338
-23.60363,-46.60332
-23.60366,-46.60326
-23.60375,-46.60308
-23.60381,-46.60296
-23.60386,-46.60283
-23.60393,-46.60265
-23.60398,-46.60254
-23.604,-46.60248
-23.60402,-46.60241
-23.60411,-46.60206
-23.6042,-46.60162
-23.60424,-46.60138
-23.60428,-46.60118
-23.60431,-46.60113
-23.60434,-46.60109
-23.60435,-46.60101
-23.60436,-46.60093
-23.6044,-46.60073
-23.60443,-46.60062
-23.60446,-46.60053
-23.6045,-46.60042
-23.60457,-46.60027
-23.60464,-46.60014
-23.60472,-46.60002
-23.60482,-46.59988
-23.60488,-46.59981
-23.60518,-46.5997
-23.60548,-46.5996
-23.60577,-46.59949
-23.60607,-46.59939
-23.60617,-46.59936
-23.60627,-46.59934
-23.60646,-46.59931
-23.60661,-46.59931
-23.60686,-46.59935
-23.60712,-46.59939
-23.60748,-46.59945
-23.60784,-46.59951
-23.60841,-46.59962
-23.60894,-46.59973
-23.60947,-46.59984
-23.61006,-46.59999
-23.61146,-46.60035
-23.61181,-46.60044
-23.61217,-46.60053
-23.61253,-46.60061
-23.61288,-46.6007
-23.61359,-46.60088
-23.61429,-46.60105
-23.61502,-46.60124
-23.61537,-46.60133
-23.61572,-46.60142
-23.61622,-46.60154
-23.61671,-46.60167
-23.61696,-46.60173
-23.61703,-46.60174
-23.61709,-46.60175
-23.61722,-46.60175
-23.61778,-46.60177
-23.61809,-46.60177
-23.61839,-46.60179
-23.61862,-46.60179
-23.61893,-46.6018
-23.61934,-46.60181
-23.61976,-46.60182
-23.62024,-46.60183
-23.62036,-46.60182
-23.62049,-46.6018
-23.6207,-46.60175
-23.62091,-46.60169
-23.62142,-46.60148
-23.62171,-46.60132
-23.62194,-46.60119
-23.62217,-46.60104
-23.62276,-46.60067
-23.62336,-46.60032
-23.62359,-46.60019
-23.62381,-46.60006
-23.62386,-46.60004
-23.6239,-46.60002
-23.62435,-46.59984
-23.62454,-46.59977
-23.62473,-46.59971
-23.62499,-46.59959
-23.62503,-46.59957
-23.62505,-46.59956
-23.6251,-46.59955
-23.62514,-46.59955
-23.62517,-46.59955
-23.6252,-46.59955
-23.62541,-46.59942
-23.62611,-46.59898
-23.62621,-46.59892
-23.62632,-46.59886
-23.62653,-46.59875
-23.62671,-46.59865
-23.62688,-46.59855
-23.62727,-46.59833
-23.62789,-46.59791
-23.6282,-46.59773
-23.62851,-46.59754
-23.62875,-46.59741
-23.62907,-46.59726
-23.62918,-46.59721
-23.62928,-46.59717
-23.62934,-46.59715
-23.6294,-46.59714
-23.62951,-46.59712
-23.62973,-46.59708
-23.62995,-46.59703
-23.63005,-46.59702
-23.63015,-46.59701
-23.63029,-46.59693
-23.63035,-46.59691
-23.63045,-46.59689
-23.63101,-46.59678
-23.63183,-46.59662
-23.63203,-46.59659
-23.63225,-46.59654
-23.63244,-46.5965
-23.63263,-46.59646
-23.63293,-46.59637
-23.63323,-46.59628
-23.6338,-46.5961
-23.63441,-46.59591
-23.63472,-46.59581
-23.63503,-46.59571
-23.63559,-46.59554
-23.63585,-46.59546
-23.63615,-46.59533
-23.63628,-46.59528
-23.63635,-46.59525
-23.63642,-46.59521
-23.63662,-46.59509
-23.63682,-46.59497
-23.637,-46.59482
-23.63723,-46.59463
-23.63734,-46.59453
-23.63741,-46.59446
-23.63747,-46.59438
-23.63779,-46.594
-23.63788,-46.59389
-23.63796,-46.59378
-23.63825,-46.59338
-23.63855,-46.59298
-23.63869,-46.59278
-23.63885,-46.59257
-23.63914,-46.59217
-23.63986,-46.59125
-23.64018,-46.59084
-23.64037,-46.59057
-23.64057,-46.59028
-23.64075,-46.59003
-23.64094,-46.58977
-23.64126,-46.58937
-23.64192,-46.58853
-23.64252,-46.58774
-23.64276,-46.58742
-23.643,-46.5871
-23.6432,-46.58683
-23.64341,-46.58656
-23.64383,-46.58601
-23.64421,-46.58548
-23.6444,-46.58523
-23.64459,-46.58498
-23.64476,-46.58477
-23.64504,-46.58444
-23.64522,-46.58425
-23.64528,-46.58418
-23.64534,-46.58413
-23.64548,-46.58402
-23.64566,-46.58387
-23.64583,-46.58375
-23.64622,-46.58353
-23.64653,-46.58334
-23.64674,-46.58321
-23.64701,-46.58306
-23.64729,-46.58291
-23.64751,-46.5828
-23.64758,-46.58282
-23.64761,-46.58283
-23.64765,-46.58282
-23.64772,-46.5828
-23.64778,-46.58278
-23.64783,-46.58277
-23.64789,-46.58276
-23.64797,-46.58276
-23.64804,-46.58275
-23.64809,-46.58275
-23.64814,-46.58276
-23.64818,-46.58277
-23.64821,-46.58279
-23.64824,-46.58281
-23.64827,-46.58283
-23.64829,-46.58286
-23.64832,-46.5829
-23.64834,-46.58293
-23.64835,-46.58296
-23.6484,-46.5837
-23.64843,-46.58407
-23.64847,-46.58463
-23.64846,-46.58483
-23.64846,-46.58501
-23.64844,-46.58512
-23.64841,-46.58523
-23.64836,-46.58538
-23.6483,-46.58552
-23.64823,-46.58564
-23.64805,-46.58599
-23.64795,-46.58616
-23.64787,-46.58631
-23.6478,-46.58645
-23.64773,-46.5866
-23.64769,-46.58675
-23.64765,-46.58691
-23.64764,-46.587
-23.64763,-46.58704
-23.64763,-46.58709
-23.64765,-46.58721
-23.64767,-46.58732
-23.6477,-46.58739
-23.64773,-46.58746
-23.64783,-46.58763
-23.64788,-46.58769
-23.64794,-46.58776
-23.64804,-46.58784
-23.6482,-46.58796
-23.64841,-46.58811
-23.64862,-46.58825
-23.64874,-46.58834
-23.64893,-46.58846
-23.64924,-46.58867
-23.64955,-46.58887
-23.64986,-46.58909
-23.65048,-46.5895
-23.65078,-46.5897
-23.65107,-46.58991
-23.65162,-46.59034
-23.65202,-46.59068
-23.65223,-46.59085
-23.65243,-46.59104
-23.65265,-46.59125
-23.65287,-46.59147
