lat,long
-23.614197,-46.500766
-23.614202,-46.500811
-23.61422,-46.500975
-23.614225,-46.501022
-23.614239,-46.501148
-23.614245,-46.501204
-23.614255,-46.5013
-23.614224,-46.501356
-23.614195,-46.501658
-23.614317,-46.501832
-23.614385,-46.501841
-23.614494,-46.501843
-23.614564,-46.501849
-23.614634,-46.501856
-23.614706,-46.501891
-23.614764,-46.501934
-23.614847,-46.501737
-23.614877,-46.50164
-23.614815,-46.501268
-23.614757,-46.500924
-23.614638,-46.500226
-23.614546,-46.499651
-23.614513,-46.499487
-23.614418,-46.499047
-23.614286,-46.498505
-23.614265,-46.498389
-23.614249,-46.498269
-23.614233,-46.498135
-23.614215,-46.497974
-23.614211,-46.497762
-23.614221,-46.497491
-23.614254,-46.497042
-23.614269,-46.496816
-23.614279,-46.496699
-23.614273,-46.496576
-23.614275,-46.496479
-23.614246,-46.496334
-23.614156,-46.496059
-23.614101,-46.495929
-23.614025,-46.495777
-23.613879,-46.495596
-23.613781,-46.495495
-23.613713,-46.49544
-23.613558,-46.495319
-23.613291,-46.495142
-23.613211,-46.495044
-23.613074,-46.494872
-23.612928,-46.494614
-23.612855,-46.494409
-23.61281,-46.494145
-23.612805,-46.49401
-23.612819,-46.49392
-23.612815,-46.493902
-23.612773,-46.493855
-23.612702,-46.493848
-23.612691,-46.493839
-23.611842,-46.493873
-23.611606,-46.493891
-23.611612,-46.493857
-23.61128,-46.493621
-23.611213,-46.493577
-23.609895,-46.492711
-23.608392,-46.491701
-23.608225,-46.490976
-23.608213,-46.490911
-23.607846,-46.491009
-23.607737,-46.49104
-23.607684,-46.491049
-23.607616,-46.491056
-23.607507,-46.491038
-23.60727,-46.490952
-23.606635,-46.490733
-23.606124,-46.490554
-23.605827,-46.490451
-23.605,-46.490165
-23.605193,-46.489395
-23.605355,-46.488867
-23.605391,-46.488798
-23.605475,-46.488635
-23.605706,-46.488308
-23.606022,-46.487841
-23.60614,-46.487667
-23.606035,-46.487566
-23.60592,-46.487453
-23.605913,-46.487448
-23.605823,-46.487386
-23.605638,-46.487278
-23.605292,-46.486992
-23.605263,-46.486939
-23.605243,-46.486892
-23.60506,-46.486751
-23.604972,-46.486683
-23.604836,-46.4866
-23.604724,-46.486544
-23.604689,-46.486556
-23.604657,-46.486562
-23.604575,-46.486562
-23.604541,-46.486564
-23.604466,-46.486568
-23.604417,-46.486576
-23.604382,-46.486582
-23.604257,-46.486575
-23.604207,-46.486577
-23.604169,-46.486582
-23.604134,-46.486599
-23.603971,-46.486748
-23.6038,-46.486902
-23.603764,-46.48695
-23.603732,-46.48699
-23.603611,-46.487152
-23.603526,-46.487306
-23.603098,-46.488021
-23.60302,-46.488133
-23.602979,-46.488202
-23.6028,-46.488558
-23.602755,-46.488652
-23.602637,-46.488828
-23.602813,-46.488982
-23.602916,-46.488848
-23.603002,-46.488808
-23.603051,-46.488799
-23.603092,-46.488803
-23.603149,-46.488832
-23.603188,-46.48887
-23.603287,-46.489159
-23.603424,-46.489608
-23.603349,-46.489562
-23.603306,-46.489547
-23.603252,-46.489544
-23.603157,-46.489604
-23.603063,-46.489704
-23.602899,-46.489935
-23.602848,-46.490018
-23.602397,-46.490707
-23.602289,-46.490879
-23.602496,-46.491074
-23.602601,-46.491165
-23.602468,-46.491429
-23.602361,-46.491614
-23.602284,-46.491575
-23.602193,-46.491577
-23.602033,-46.491608
-23.601937,-46.491645
-23.601856,-46.491695
-23.601823,-46.491722
-23.60176,-46.491779
-23.601707,-46.491844
-23.601672,-46.491903
-23.601628,-46.49199
-23.601606,-46.49206
-23.601588,-46.49213
-23.601549,-46.492429
-23.601533,-46.492596
-23.601461,-46.493255
-23.601353,-46.493265
-23.601183,-46.493265
-23.600876,-46.493256
-23.600666,-46.493254
-23.600136,-46.493245
-23.600032,-46.493271
-23.599888,-46.493309
-23.599786,-46.493368
-23.59969,-46.493424
-23.599583,-46.493493
-23.599469,-46.493567
-23.599425,-46.493597
-23.599293,-46.49368
-23.59914,-46.493783
-23.599076,-46.493878
-23.599047,-46.493978
-23.599041,-46.494031
-23.599033,-46.494147
-23.59905,-46.494259
-23.599082,-46.494396
-23.599249,-46.494507
-23.599298,-46.49474
-23.599442,-46.495093
-23.599575,-46.495421
-23.599603,-46.495455
-23.599498,-46.495655
-23.599429,-46.495784
-23.599159,-46.496347
-23.598996,-46.496248
-23.598601,-46.496041
-23.598301,-46.495898
-23.597925,-46.495739
-23.597582,-46.495618
-23.597376,-46.495555
-23.597273,-46.495518
-23.597034,-46.495449
-23.596863,-46.495398
-23.59674,-46.49537
-23.596666,-46.495353
-23.596557,-46.495331
-23.596462,-46.495322
-23.596186,-46.495292
-23.595847,-46.495267
-23.595713,-46.495259
-23.59559,-46.495244
-23.595502,-46.495244
-23.595401,-46.49507
-23.595219,-46.494721
-23.595056,-46.494486
-23.594767,-46.494111
-23.594655,-46.493997
-23.594543,-46.493924
-23.593771,-46.493315
-23.59368,-46.49324
-23.59359,-46.493143
-23.5935,-46.493047
-23.593373,-46.492854
-23.593318,-46.49274
-23.593271,-46.492598
-23.593227,-46.492374
-23.593196,-46.492049
-23.593207,-46.491907
-23.593282,-46.491654
-23.593293,-46.491603
-23.593475,-46.490957
-23.594396,-46.49064
-23.595303,-46.490303
-23.595903,-46.490093
-23.596499,-46.489867
-23.59632,-46.489284
-23.596144,-46.488697
-23.595785,-46.487584
-23.594421,-46.488104
-23.594041,-46.488251
-23.593037,-46.48863
-23.591183,-46.489328
-23.590022,-46.489774
-23.588891,-46.490194
-23.588132,-46.490488
-23.587701,-46.490646
-23.587041,-46.490893
-23.586353,-46.491156
-23.58609,-46.491263
-23.585982,-46.49131
-23.584798,-46.491803
-23.584575,-46.491913
-23.584415,-46.491993
-23.584316,-46.492033
-23.584259,-46.49207
-23.584177,-46.492124
-23.584139,-46.492179
-23.584106,-46.492227
-23.584063,-46.492295
-23.584039,-46.492346
-23.583967,-46.492508
-23.583935,-46.492591
-23.583921,-46.492649
-23.583903,-46.49273
-23.583892,-46.492829
-23.583885,-46.492923
-23.583864,-46.493412
-23.583869,-46.49351
-23.583862,-46.493561
-23.583788,-46.493838
-23.583624,-46.494472
-23.583527,-46.494809
-23.583428,-46.495083
-23.583323,-46.495378
-23.583221,-46.495643
-23.583175,-46.495745
-23.583117,-46.495921
-23.583044,-46.496092
-23.582911,-46.496383
-23.582791,-46.496576
-23.582711,-46.4967
-23.582299,-46.497239
-23.582134,-46.497449
-23.582043,-46.497568
-23.581868,-46.49779
-23.58181,-46.497867
-23.581417,-46.498376
-23.581302,-46.498526
-23.581188,-46.49869
-23.581124,-46.498782
-23.581035,-46.498933
-23.580919,-46.499173
-23.580838,-46.499345
-23.580811,-46.499419
-23.580527,-46.500106
-23.580376,-46.500467
-23.580336,-46.500594
-23.580297,-46.500754
-23.580292,-46.500879
-23.580345,-46.501658
-23.580342,-46.501758
-23.580336,-46.501871
-23.580328,-46.501929
-23.580298,-46.502002
-23.580268,-46.502048
-23.580225,-46.502125
-23.580158,-46.502194
-23.580102,-46.502221
-23.580016,-46.502278
-23.579905,-46.50233
-23.579207,-46.502676
-23.578522,-46.502995
-23.578445,-46.503026
-23.578362,-46.503068
-23.578315,-46.503101
-23.57827,-46.503113
-23.577684,-46.503394
-23.576921,-46.503753
-23.576155,-46.504106
-23.575393,-46.504483
-23.574645,-46.504838
-23.573881,-46.505221
-23.573131,-46.505579
-23.572773,-46.505753
-23.57237,-46.505951
-23.571751,-46.506241
-23.571514,-46.506357
-23.571369,-46.506442
-23.571219,-46.506548
-23.571154,-46.506609
-23.570955,-46.506822
-23.569963,-46.507861
-23.569595,-46.508263
-23.56927,-46.508592
-23.569171,-46.508698
-23.568239,-46.509684
-23.567145,-46.510823
-23.566894,-46.511086
-23.566867,-46.511115
-23.5655,-46.51256
-23.565088,-46.512993
-23.56475,-46.513349
-23.564401,-46.513717
-23.564085,-46.51405
-23.563691,-46.514478
-23.563526,-46.514648
-23.563314,-46.514879
-23.562981,-46.515229
-23.562753,-46.515502
-23.562688,-46.515575
-23.562628,-46.515709
-23.562537,-46.516033
-23.56248,-46.516203
-23.562337,-46.516536
-23.562062,-46.517059
-23.561496,-46.518132
-23.561366,-46.518394
-23.561248,-46.518569
-23.561067,-46.518785
-23.560937,-46.518923
-23.56069,-46.519177
-23.560142,-46.519757
-23.559662,-46.520266
-23.559438,-46.520507
-23.559166,-46.520806
-23.559047,-46.520942
-23.558956,-46.521083
-23.55885,-46.521175
-23.55869,-46.521447
-23.558641,-46.521514
-23.558515,-46.521681
-23.558319,-46.521941
-23.558263,-46.522021
-23.558135,-46.522221
-23.557992,-46.522454
-23.557947,-46.522538
-23.557803,-46.522808
-23.557779,-46.522859
-23.557718,-46.52309
-23.557656,-46.523307
-23.557571,-46.523626
-23.55753,-46.523759
-23.557456,-46.523985
-23.557393,-46.524178
-23.557363,-46.524281
-23.557198,-46.524522
-23.557159,-46.524576
-23.556956,-46.524812
-23.556731,-46.525045
-23.556492,-46.525251
-23.556287,-46.525427
-23.55559,-46.52602
-23.555495,-46.5261
-23.555453,-46.526134
-23.555003,-46.526515
-23.554604,-46.526858
-23.554465,-46.52698
-23.553955,-46.527427
-23.553735,-46.527617
-23.55332,-46.527972
-23.553124,-46.528146
-23.553049,-46.528147
-23.55302,-46.528145
-23.552915,-46.528137
-23.552809,-46.528149
-23.552731,-46.528165
-23.552661,-46.52818
-23.552615,-46.528192
-23.55257,-46.528209
-23.552532,-46.528252
-23.552487,-46.528355
-23.55243,-46.52851
-23.552432,-46.52856
-23.552439,-46.528608
-23.552451,-46.528703
-23.552446,-46.528751
-23.552461,-46.528873
-23.552245,-46.529345
-23.551902,-46.530116
-23.551868,-46.53018
-23.551689,-46.530614
