lat,long
-23.637384,-46.592753
-23.637446,-46.592942
-23.637517,-46.593174
-23.637173,-46.593642
-23.637115,-46.593568
-23.637023,-46.593511
-23.636834,-46.593391
-23.636649,-46.59322
-23.636539,-46.59312
-23.636338,-46.592945
-23.636242,-46.592845
-23.636141,-46.592724
-23.636013,-46.592544
-23.635809,-46.592248
-23.635685,-46.592067
-23.635313,-46.591523
-23.634919,-46.590952
-23.634857,-46.590844
-23.63471,-46.590506
-23.634665,-46.590368
-23.634637,-46.590255
-23.63462,-46.59015
-23.634556,-46.589827
-23.634465,-46.589396
-23.634417,-46.589142
-23.634293,-46.58852
-23.634139,-46.587781
-23.634097,-46.587622
-23.634045,-46.587529
-23.633947,-46.587399
-23.633646,-46.587163
-23.633185,-46.586835
-23.633063,-46.586743
-23.632625,-46.586339
-23.632431,-46.586181
-23.63198,-46.585804
-23.631945,-46.585778
-23.631904,-46.585731
-23.631871,-46.58565
-23.63182,-46.585531
-23.631785,-46.585408
-23.631701,-46.585153
-23.631337,-46.584887
-23.631172,-46.585118
-23.630821,-46.585577
-23.630471,-46.586018
-23.630173,-46.586388
-23.630052,-46.586566
-23.629987,-46.586676
-23.629926,-46.586786
-23.629883,-46.586858
-23.629825,-46.587063
-23.629784,-46.587221
-23.629711,-46.587563
-23.629668,-46.587786
-23.629583,-46.588196
-23.629571,-46.588297
-23.629563,-46.58841
-23.62955,-46.588718
-23.629542,-46.588842
-23.629526,-46.588948
-23.629501,-46.589038
-23.629276,-46.589466
-23.629123,-46.589767
-23.629018,-46.589961
-23.628952,-46.590052
-23.628851,-46.590183
-23.628733,-46.590299
-23.628279,-46.590675
-23.627855,-46.590988
-23.62741,-46.591262
-23.627273,-46.591322
-23.627196,-46.591332
-23.627095,-46.591335
-23.627044,-46.591327
-23.626538,-46.591236
-23.626423,-46.591217
-23.625972,-46.591147
-23.625678,-46.5911
-23.62546,-46.591062
-23.62518,-46.591015
-23.624996,-46.590987
-23.624834,-46.590977
-23.62443,-46.591006
-23.624046,-46.591056
-23.623632,-46.591098
-23.623604,-46.591107
-23.623463,-46.591148
-23.623409,-46.591161
-23.622494,-46.591638
-23.622444,-46.591672
-23.622345,-46.59172
-23.622245,-46.591729
-23.621889,-46.591743
-23.621459,-46.591804
-23.62099,-46.591902
-23.620691,-46.592003
-23.620398,-46.59209
-23.620332,-46.592111
-23.620022,-46.592204
-23.618834,-46.592566
-23.618521,-46.592657
-23.61784,-46.592862
-23.617623,-46.592929
-23.616982,-46.593125
-23.616769,-46.593194
-23.616336,-46.593323
-23.615891,-46.593462
-23.615526,-46.593578
-23.615012,-46.593728
-23.614926,-46.593753
-23.614506,-46.593874
-23.614394,-46.593908
-23.614099,-46.593992
-23.613488,-46.5942
-23.613027,-46.59438
-23.612941,-46.594411
-23.612837,-46.594458
-23.6128,-46.594474
-23.612448,-46.594641
-23.612322,-46.594697
-23.61185,-46.594923
-23.611682,-46.59501
-23.61154,-46.595068
-23.611328,-46.595176
-23.61124,-46.595223
-23.610997,-46.595354
-23.610332,-46.595763
-23.610202,-46.59584
-23.609974,-46.596008
-23.609815,-46.596113
-23.60963,-46.596234
-23.609418,-46.59636
-23.609156,-46.596505
-23.608925,-46.596657
-23.608771,-46.59672
-23.608549,-46.596868
-23.608369,-46.596957
-23.608087,-46.597117
-23.607678,-46.597355
-23.607545,-46.597527
-23.607367,-46.597796
-23.607292,-46.597896
-23.607213,-46.598034
-23.606962,-46.598345
-23.606894,-46.598408
-23.606848,-46.598433
-23.606649,-46.59848
-23.606331,-46.598571
-23.606233,-46.598598
-23.605943,-46.598709
-23.605833,-46.598756
-23.60556,-46.598905
-23.605346,-46.599015
-23.605223,-46.599086
-23.605134,-46.599129
-23.605048,-46.599161
-23.605032,-46.599167
-23.604848,-46.599263
-23.60463,-46.599368
-23.604449,-46.599471
-23.604295,-46.599562
-23.604227,-46.599576
-23.604144,-46.599603
-23.604083,-46.599605
-23.603998,-46.599601
-23.60393,-46.599637
-23.603859,-46.599632
-23.603762,-46.599637
-23.603612,-46.599528
-23.603509,-46.599447
-23.60336,-46.599359
-23.603194,-46.599314
-23.603078,-46.599327
-23.602937,-46.599349
-23.602826,-46.599398
-23.602729,-46.599467
-23.602618,-46.599616
-23.602577,-46.599724
-23.602549,-46.599795
-23.60254,-46.599928
-23.60254,-46.599997
-23.602563,-46.600133
-23.60258,-46.60021
-23.602606,-46.600278
-23.602656,-46.600376
-23.602789,-46.600625
-23.602929,-46.600918
-23.603057,-46.60116
-23.603043,-46.601426
-23.602998,-46.60151
-23.603019,-46.601622
-23.602812,-46.60195
-23.602899,-46.60203
-23.602953,-46.602079
-23.60301,-46.602132
-23.603062,-46.60218
-23.603119,-46.602232
-23.603183,-46.602291
-23.603574,-46.602649
-23.603551,-46.602683
-23.603523,-46.602727
-23.603471,-46.602811
-23.603407,-46.602919
-23.603308,-46.603068
-23.603204,-46.602981
-23.603148,-46.602935
-23.60308,-46.60288
-23.603024,-46.602832
