lat,long
-23.598519,-46.534373
-23.59849,-46.534429
-23.597922,-46.535449
-23.597799,-46.53567
-23.597597,-46.535548
-23.597709,-46.535355
-23.597739,-46.5353
-23.59784,-46.535112
-23.597889,-46.535023
-23.597946,-46.534892
-23.598048,-46.53463
-23.598196,-46.534158
-23.598402,-46.5335
-23.598775,-46.533685
-23.598844,-46.533742
-23.598882,-46.533652
-23.5991,-46.532827
-23.599413,-46.532922
-23.600224,-46.533133
-23.600768,-46.533276
-23.601338,-46.533422
-23.601507,-46.533433
-23.601526,-46.533657
-23.601551,-46.533834
-23.601586,-46.533958
-23.601629,-46.534142
-23.60175,-46.534514
-23.60183,-46.534736
-23.601929,-46.534958
-23.601969,-46.535058
-23.601999,-46.535136
-23.60201,-46.535234
-23.602024,-46.535317
-23.602016,-46.53543
-23.601982,-46.535522
-23.601894,-46.535704
-23.601856,-46.535795
-23.601803,-46.535876
-23.601696,-46.536023
-23.601657,-46.536081
-23.601589,-46.536168
-23.601536,-46.536234
-23.601331,-46.536461
-23.601217,-46.53659
-23.601149,-46.536658
-23.600941,-46.536857
-23.600765,-46.537001
-23.600584,-46.537137
-23.600532,-46.537176
-23.600345,-46.53727
-23.600224,-46.537327
-23.600061,-46.537406
-23.599798,-46.537556
-23.599635,-46.537682
-23.599515,-46.537792
-23.599,-46.538235
-23.598914,-46.53831
-23.598828,-46.538384
-23.598637,-46.538575
-23.598581,-46.538651
-23.59851,-46.538734
-23.598436,-46.53886
-23.598353,-46.539062
-23.598342,-46.539088
-23.598266,-46.539323
-23.597901,-46.540454
-23.597851,-46.540566
-23.597784,-46.540741
-23.597663,-46.540988
-23.597543,-46.541116
-23.597453,-46.541189
-23.597243,-46.541343
-23.597033,-46.541494
-23.596926,-46.541577
-23.596753,-46.541762
-23.59672,-46.541801
-23.596678,-46.54184
-23.596527,-46.542037
-23.596442,-46.542167
-23.596379,-46.542286
-23.59623,-46.542534
-23.596122,-46.542703
-23.596068,-46.542767
-23.596044,-46.542801
-23.595998,-46.542835
-23.595949,-46.542877
-23.595479,-46.543125
-23.59539,-46.543174
-23.594941,-46.543473
-23.594681,-46.543644
-23.594414,-46.543844
-23.594154,-46.544039
-23.593033,-46.544902
-23.592989,-46.544937
-23.592911,-46.545023
-23.592851,-46.545153
-23.592805,-46.545327
-23.592795,-46.545442
-23.59279,-46.545494
-23.592812,-46.545588
-23.592844,-46.545699
-23.592957,-46.546064
-23.592989,-46.54624
-23.592989,-46.546344
-23.59297,-46.5464
-23.59295,-46.546472
-23.592902,-46.546578
-23.592885,-46.546624
-23.592837,-46.546698
-23.592811,-46.546735
-23.592163,-46.547433
-23.592001,-46.547603
-23.591899,-46.547762
-23.59188,-46.547802
-23.591833,-46.547895
-23.591783,-46.548064
-23.591753,-46.548311
-23.591742,-46.548441
-23.59169,-46.549
-23.591668,-46.549201
-23.591659,-46.549261
-23.591633,-46.549375
-23.591612,-46.54945
-23.591575,-46.549556
-23.591399,-46.550047
-23.591371,-46.550124
-23.591277,-46.550387
-23.591229,-46.55052
-23.591224,-46.550531
-23.591183,-46.550606
-23.591137,-46.55069
-23.590968,-46.550938
-23.590672,-46.551384
-23.590345,-46.551873
-23.59025,-46.552015
-23.590101,-46.552236
-23.589742,-46.552774
-23.589564,-46.553045
-23.589372,-46.55334
-23.589324,-46.553413
-23.589161,-46.553645
-23.588978,-46.553943
-23.588867,-46.55409
-23.588498,-46.554635
-23.588392,-46.554767
-23.588135,-46.555049
-23.588051,-46.555116
-23.587903,-46.555226
-23.587739,-46.55535
-23.587648,-46.555446
-23.58758,-46.555569
-23.587464,-46.555875
-23.587435,-46.556009
-23.587354,-46.556276
-23.587335,-46.556372
-23.58731,-46.556496
-23.587278,-46.556818
-23.587241,-46.557134
-23.587205,-46.557402
-23.587132,-46.557395
-23.586663,-46.557485
-23.585863,-46.557624
-23.585359,-46.557716
-23.584885,-46.557802
-23.583923,-46.557973
-23.583819,-46.558001
-23.583681,-46.558051
-23.583502,-46.558326
-23.583027,-46.559257
-23.582745,-46.559783
-23.582682,-46.559904
-23.582609,-46.560099
-23.582619,-46.560238
-23.582643,-46.560647
-23.582691,-46.561171
-23.582789,-46.562332
-23.582818,-46.562645
-23.582842,-46.562839
-23.582849,-46.562913
-23.582898,-46.563001
-23.58314,-46.563209
-23.583466,-46.563477
-23.583622,-46.563625
-23.583794,-46.563754
-23.583827,-46.56379
-23.584099,-46.563925
-23.584551,-46.564314
-23.584685,-46.564423
-23.584731,-46.56447
-23.584767,-46.564518
-23.584966,-46.565064
-23.583745,-46.565536
-23.58292,-46.565847
-23.582769,-46.565936
-23.582687,-46.565067
-23.582593,-46.564124
-23.582524,-46.563517
-23.582492,-46.563142
-23.582461,-46.563065
-23.582427,-46.563025
-23.582387,-46.562985
-23.582347,-46.562964
-23.582295,-46.562952
-23.582056,-46.562994
-23.581722,-46.563098
-23.581422,-46.563187
-23.581351,-46.563205
-23.580582,-46.563101
-23.579847,-46.562995
-23.57932,-46.562922
-23.578558,-46.562811
-23.578462,-46.562794
-23.57774,-46.562692
-23.577637,-46.562676
-23.57774,-46.562692
-23.577617,-46.562813
-23.576608,-46.563384
-23.575795,-46.563843
-23.575484,-46.56403
-23.575339,-46.56412
-23.575127,-46.564125
-23.574875,-46.564104
-23.574543,-46.564073
-23.573851,-46.564023
-23.57384,-46.564074
-23.573777,-46.564437
-23.573776,-46.564339
-23.573773,-46.564279
-23.573764,-46.564217
-23.573742,-46.564149
-23.573727,-46.564101
-23.573714,-46.564077
-23.573707,-46.564056
-23.573694,-46.564053
-23.573674,-46.564051
-23.573649,-46.564053
-23.573624,-46.564062
-23.573606,-46.564073
-23.573594,-46.564085
-23.573579,-46.564104
-23.57357,-46.564074
-23.57356,-46.564041
-23.573494,-46.563907
-23.573454,-46.563829
-23.573429,-46.563788
-23.573409,-46.563731
-23.573401,-46.563693
-23.573396,-46.563624
-23.573356,-46.563503
-23.573274,-46.563085
-23.573202,-46.56264
-23.573126,-46.562216
-23.573066,-46.561888
-23.57302,-46.561564
-23.572992,-46.561192
-23.572997,-46.561069
-23.573016,-46.560623
-23.572906,-46.560922
-23.572794,-46.561257
-23.572666,-46.561687
-23.572657,-46.561714
-23.57233,-46.561553
-23.571055,-46.560976
-23.570909,-46.560853
-23.570496,-46.560481
-23.570345,-46.560327
-23.570158,-46.560103
-23.570008,-46.559896
-23.569939,-46.55979
-23.569828,-46.559593
-23.569757,-46.559463
-23.569672,-46.559294
-23.569612,-46.559154
-23.569386,-46.558464
-23.569348,-46.558317
-23.569321,-46.558181
-23.5693,-46.557931
-23.569283,-46.557509
-23.569285,-46.557398
-23.569295,-46.557322
-23.568943,-46.557177
-23.568794,-46.557356
-23.568684,-46.557465
-23.568506,-46.557649
-23.568419,-46.557734
-23.568293,-46.55783
-23.568204,-46.557906
-23.568009,-46.558037
-23.56783,-46.558136
-23.56758,-46.558269
