lat,long
-23.613673,-46.695524
-23.613686,-46.69547
-23.613719,-46.695331
-23.613734,-46.695269
-23.613765,-46.695135
-23.613713,-46.695086
-23.613683,-46.695072
-23.613669,-46.695064
-23.61365,-46.695055
-23.613626,-46.695047
-23.613615,-46.695048
-23.613596,-46.695051
-23.61357,-46.695059
-23.61352,-46.695218
-23.613441,-46.695458
-23.61342,-46.695523
-23.613391,-46.695611
-23.613375,-46.695745
-23.613087,-46.695633
-23.612832,-46.695542
-23.612302,-46.695346
-23.61183,-46.695138
-23.611766,-46.695157
-23.611243,-46.694958
-23.610451,-46.694662
-23.610269,-46.694605
-23.610092,-46.694546
-23.609644,-46.694385
-23.609121,-46.694189
-23.60841,-46.693929
-23.607538,-46.69361
-23.606898,-46.693384
-23.606285,-46.693166
-23.605637,-46.692921
-23.605553,-46.692888
-23.605037,-46.692697
-23.604481,-46.692504
-23.604305,-46.692442
-23.603803,-46.692262
-23.603615,-46.692192
-23.603311,-46.692084
-23.602645,-46.691843
-23.602089,-46.69163
-23.601506,-46.69143
-23.600763,-46.691153
-23.60038,-46.691019
-23.600102,-46.690917
-23.599573,-46.690715
-23.599369,-46.690675
-23.599261,-46.690681
-23.599139,-46.690686
-23.598929,-46.690722
-23.598663,-46.690809
-23.598492,-46.690885
-23.598235,-46.69099
-23.598098,-46.691035
-23.597897,-46.691078
-23.597659,-46.691097
-23.597559,-46.691104
-23.597248,-46.690984
-23.597157,-46.690945
-23.597037,-46.690842
-23.597002,-46.690814
-23.596959,-46.690795
-23.596843,-46.69075
-23.596755,-46.690726
-23.596573,-46.690701
-23.596476,-46.690755
-23.596388,-46.690772
-23.596296,-46.69076
-23.596021,-46.690707
-23.595743,-46.69063
-23.594907,-46.690249
-23.594885,-46.690133
-23.594877,-46.69011
-23.594873,-46.690075
-23.594881,-46.690041
-23.595328,-46.689073
-23.595729,-46.688197
-23.595952,-46.687725
-23.596114,-46.687373
-23.596149,-46.6873
-23.59622,-46.68715
-23.596011,-46.686167
-23.596548,-46.686454
-23.596888,-46.686641
-23.597011,-46.686704
-23.597454,-46.686945
-23.597677,-46.686457
-23.598013,-46.685727
-23.598125,-46.685483
-23.598575,-46.684504
-23.599029,-46.683523
-23.599352,-46.682818
-23.59994,-46.68154
-23.600136,-46.681114
-23.601002,-46.679254
-23.601381,-46.678431
-23.601736,-46.677661
-23.60198,-46.677133
-23.602369,-46.676295
-23.603132,-46.674643
-23.604089,-46.674968
-23.604214,-46.674955
-23.604728,-46.675141
-23.604971,-46.675234
-23.605074,-46.675297
-23.605129,-46.675358
-23.605272,-46.675423
-23.606063,-46.675736
-23.606755,-46.676007
-23.607082,-46.676253
-23.607893,-46.676564
-23.608018,-46.676611
-23.608163,-46.676635
-23.608213,-46.676621
-23.608249,-46.676611
-23.60826,-46.676596
-23.60829,-46.676543
-23.608325,-46.676438
-23.60832,-46.676385
-23.607942,-46.676233
-23.607315,-46.675997
-23.607185,-46.675955
-23.606872,-46.675935
-23.606166,-46.675662
-23.605191,-46.675271
-23.60515,-46.675222
-23.605168,-46.675166
-23.605888,-46.674263
-23.606566,-46.673421
-23.606892,-46.673007
-23.607204,-46.672616
-23.607248,-46.672563
-23.607526,-46.672214
-23.607917,-46.67173
-23.608309,-46.671239
-23.608716,-46.670728
-23.609362,-46.669909
-23.609521,-46.669721
-23.609889,-46.669259
-23.610361,-46.668663
-23.610445,-46.668557
-23.611118,-46.667721
-23.611807,-46.666863
-23.612493,-46.66601
-23.613182,-46.665156
-23.612389,-46.664403
-23.611595,-46.663665
-23.610807,-46.662913
-23.610015,-46.662169
-23.609225,-46.661423
-23.60844,-46.660682
-23.607652,-46.659932
-23.606858,-46.659184
-23.606466,-46.658807
-23.606066,-46.658443
-23.605283,-46.657689
-23.604933,-46.658123
-23.604595,-46.658548
-23.603902,-46.65941
-23.603218,-46.660269
-23.602426,-46.659517
-23.601638,-46.65877
-23.600843,-46.658028
-23.601535,-46.657162
-23.602222,-46.656308
-23.602908,-46.655447
-23.603593,-46.654588
-23.60365,-46.654522
-23.603834,-46.65441
-23.603933,-46.65437
-23.604633,-46.654081
-23.605332,-46.653793
-23.605351,-46.653774
-23.605391,-46.653767
-23.605746,-46.653621
-23.60686,-46.653153
-23.607415,-46.652926
-23.607584,-46.652861
-23.607871,-46.652719
-23.608078,-46.652631
-23.608184,-46.652595
-23.608308,-46.652575
-23.609144,-46.652226
-23.610114,-46.651812
-23.61036,-46.651708
-23.610428,-46.651659
-23.610503,-46.651643
-23.610765,-46.651544
-23.611746,-46.651147
-23.612713,-46.650732
-23.613693,-46.650317
-23.614677,-46.649905
-23.615666,-46.649507
-23.616647,-46.649104
-23.617624,-46.648684
-23.618603,-46.648277
-23.619584,-46.647876
-23.62055,-46.647476
-23.621529,-46.647071
-23.622507,-46.646665
-23.623491,-46.646257
-23.623977,-46.646059
-23.624468,-46.645855
-23.625438,-46.645442
-23.626411,-46.645039
-23.627406,-46.644628
-23.628162,-46.644319
-23.628238,-46.644283
-23.628391,-46.644259
-23.628298,-46.644108
-23.627723,-46.643095
-23.627405,-46.642535
-23.627134,-46.642064
-23.627172,-46.641925
-23.627202,-46.641893
-23.627266,-46.641867
-23.627332,-46.641851
-23.627259,-46.641775
-23.627238,-46.64169
-23.627221,-46.64155
-23.627225,-46.641452
-23.627262,-46.641448
-23.627555,-46.641388
-23.627577,-46.641384
-23.627788,-46.641315
-23.627903,-46.641278
-23.628153,-46.641301
-23.628877,-46.641386
-23.62905,-46.64141
-23.629166,-46.641414
-23.629502,-46.64144
-23.629965,-46.641472
-23.630196,-46.641489
-23.630885,-46.641534
-23.63156,-46.641572
-23.632259,-46.641616
-23.63228,-46.641615
-23.632574,-46.641601
-23.632722,-46.641576
