lat,long
-23.65334,-46.52928
-23.65351,-46.52914
-23.65359,-46.52903
-23.65368,-46.5289
-23.65386,-46.52915
-23.65372,-46.52909
-23.65364,-46.52911
-23.6536,-46.52915
-23.65356,-46.52922
-23.65356,-46.52936
-23.65358,-46.52943
-23.6541,-46.53036
-23.65432,-46.53077
-23.65456,-46.5311
-23.65491,-46.53143
-23.65501,-46.53159
-23.65517,-46.53204
-23.6552,-46.53211
-23.65522,-46.53219
-23.65525,-46.5323
-23.65534,-46.53258
-23.6554,-46.53288
-23.65545,-46.53306
-23.6555,-46.53312
-23.65557,-46.53315
-23.65567,-46.53315
-23.65574,-46.53311
-23.65577,-46.53306
-23.65556,-46.53244
-23.65564,-46.53217
-23.6557,-46.53209
-23.65612,-46.53185
-23.65667,-46.53153
-23.65701,-46.53116
-23.65768,-46.53081
-23.65785,-46.53073
-23.65888,-46.53022
-23.65946,-46.5299
-23.65962,-46.52984
-23.65973,-46.5298
-23.66023,-46.52985
-23.66083,-46.52994
-23.66149,-46.53008
-23.66191,-46.53027
-23.66357,-46.53137
-23.66401,-46.5316
-23.66657,-46.53224
-23.66741,-46.53245
-23.66775,-46.53257
-23.66804,-46.53274
-23.66831,-46.53294
-23.66855,-46.53315
-23.66952,-46.5344
-23.66972,-46.53466
-23.6702,-46.53522
-23.67028,-46.53528
-23.67056,-46.53548
-23.67107,-46.53581
-23.67195,-46.53632
-23.67238,-46.53648
-23.67301,-46.53661
-23.67357,-46.53661
-23.6743,-46.53649
-23.67483,-46.53639
-23.67515,-46.53638
-23.67561,-46.53653
-23.67591,-46.53665
-23.67631,-46.53681
-23.67673,-46.53696
-23.67723,-46.53707
-23.6774,-46.53717
-23.67825,-46.53797
-23.67939,-46.539
-23.67966,-46.5393
-23.68007,-46.53994
-23.68061,-46.54073
-23.68106,-46.54145
-23.6819,-46.54276
-23.68248,-46.54374
-23.68277,-46.54468
-23.68284,-46.54491
-23.68308,-46.54556
-23.6833,-46.54596
-23.68352,-46.54627
-23.68382,-46.54665
-23.68419,-46.54697
-23.68459,-46.54722
-23.6849,-46.54736
-23.68528,-46.54748
-23.68564,-46.54756
-23.68634,-46.54757
-23.68671,-46.54751
-23.68694,-46.54753
-23.68748,-46.54764
-23.69036,-46.54821
-23.69132,-46.54839
-23.69219,-46.54857
-23.69278,-46.54881
-23.69323,-46.54911
-23.69379,-46.54953
-23.69409,-46.54981
-23.6942,-46.54994
-23.69431,-46.55013
-23.69446,-46.55045
-23.69449,-46.55069
-23.69453,-46.55087
-23.69441,-46.55132
-23.69416,-46.55241
-23.69408,-46.55276
-23.6939,-46.55354
-23.69367,-46.55359
-23.69362,-46.55364
-23.69327,-46.55399
-23.69268,-46.55483
-23.69205,-46.55601
-23.69103,-46.55778
-23.69036,-46.55894
-23.69016,-46.55936
-23.69012,-46.55947
-23.69008,-46.55973
-23.69005,-46.55989
-23.68979,-46.56122
-23.68963,-46.5621
-23.68933,-46.56298
-23.68926,-46.56334
-23.68925,-46.56346
-23.68928,-46.56367
-23.68943,-46.56426
-23.68953,-46.56453
-23.6896,-46.5648
-23.68967,-46.56505
-23.68975,-46.56527
-23.68984,-46.56574
-23.68985,-46.56612
-23.68981,-46.56652
-23.68978,-46.56735
-23.68958,-46.56915
-23.68953,-46.57002
-23.68938,-46.57122
-23.68927,-46.5722
-23.68927,-46.57237
-23.68925,-46.57268
-23.68933,-46.57314
-23.6894,-46.57351
-23.68958,-46.57413
-23.69009,-46.57647
-23.69031,-46.57741
-23.69037,-46.57782
-23.69034,-46.57811
-23.69019,-46.5784
-23.69003,-46.57868
-23.69002,-46.57882
-23.69006,-46.57899
-23.69016,-46.57916
-23.69029,-46.57923
-23.69049,-46.57931
-23.6906,-46.57934
-23.69054,-46.57907
-23.6905,-46.57892
-23.69049,-46.57864
-23.69049,-46.57828
-23.69049,-46.57794
-23.69045,-46.57756
-23.69016,-46.57637
-23.68973,-46.57461
-23.68955,-46.57378
-23.6895,-46.57323
-23.68949,-46.57297
-23.68949,-46.57295
-23.68949,-46.57297
-23.6895,-46.57323
-23.68955,-46.57378
-23.68973,-46.57461
-23.69016,-46.57637
-23.69037,-46.57722
-23.69045,-46.57756
-23.69049,-46.57794
-23.69049,-46.57844
-23.6905,-46.57892
-23.69056,-46.57916
-23.69062,-46.57938
-23.69065,-46.57945
-23.69092,-46.58008
-23.69118,-46.58054
-23.69156,-46.58111
-23.69171,-46.58137
-23.69188,-46.58167
-23.69203,-46.58208
-23.69209,-46.58262
