lat,long
-23.69187,-46.5848
-23.69172,-46.58435
-23.69166,-46.58423
-23.69174,-46.58408
-23.69174,-46.58403
-23.69174,-46.58399
-23.69175,-46.58395
-23.69176,-46.58392
-23.69178,-46.58389
-23.69181,-46.58385
-23.69185,-46.5838
-23.6919,-46.58377
-23.69196,-46.58375
-23.69203,-46.58373
-23.69212,-46.58373
-23.69217,-46.58373
-23.6922,-46.58374
-23.69225,-46.58379
-23.69229,-46.58386
-23.69237,-46.58402
-23.69248,-46.58444
-23.69256,-46.58473
-23.69263,-46.585
-23.69267,-46.58515
-23.69275,-46.58537
-23.69283,-46.58561
-23.69291,-46.58587
-23.69297,-46.5861
-23.69301,-46.58622
-23.69314,-46.58652
-23.69328,-46.58682
-23.69342,-46.58715
-23.69352,-46.58736
-23.6936,-46.58753
-23.69346,-46.58766
-23.69331,-46.5878
-23.69322,-46.58788
-23.69282,-46.58815
-23.69267,-46.58824
-23.6925,-46.58834
-23.69222,-46.5885
-23.69208,-46.58859
-23.69187,-46.58874
-23.69153,-46.58899
-23.69129,-46.58904
-23.69118,-46.58907
-23.69111,-46.5891
-23.69106,-46.58912
-23.69103,-46.58923
-23.69101,-46.58931
-23.69096,-46.58945
-23.6909,-46.5896
-23.69086,-46.58969
-23.6908,-46.58978
-23.69074,-46.58986
-23.69066,-46.58992
-23.69054,-46.59002
-23.69041,-46.59011
-23.69029,-46.59017
-23.69022,-46.59019
-23.69011,-46.59023
-23.69005,-46.59025
-23.68997,-46.59027
-23.68974,-46.59033
-23.6896,-46.59037
-23.68945,-46.59041
-23.6893,-46.59046
-23.68915,-46.59052
-23.68909,-46.59055
-23.6891,-46.59062
-23.6891,-46.59072
-23.6891,-46.59083
-23.68911,-46.59112
-23.68911,-46.5913
-23.68911,-46.59146
-23.68911,-46.59203
-23.68912,-46.59215
-23.68912,-46.59227
-23.68914,-46.59234
-23.68917,-46.59239
-23.68928,-46.59253
-23.68939,-46.59264
-23.68952,-46.59277
-23.68977,-46.593
-23.6899,-46.59312
-23.69006,-46.5933
-23.6903,-46.59357
-23.6905,-46.59379
-23.69064,-46.59392
-23.69078,-46.59407
-23.6911,-46.59441
-23.69148,-46.5948
-23.69155,-46.59486
-23.69159,-46.59489
-23.69165,-46.59492
-23.69173,-46.59494
-23.69186,-46.59495
-23.69191,-46.59495
-23.69195,-46.59495
-23.69205,-46.59493
-23.6921,-46.59491
-23.69217,-46.59488
-23.69224,-46.59484
-23.69231,-46.59479
-23.69243,-46.59469
-23.69268,-46.59449
-23.69271,-46.59456
-23.69277,-46.59466
-23.69285,-46.59478
-23.69292,-46.59486
-23.69297,-46.59491
