lat,long
-23.446728,-46.611033
-23.446731,-46.611114
-23.446763,-46.611625
-23.44674,-46.611856
-23.446723,-46.611983
-23.446676,-46.612233
-23.446646,-46.612488
-23.44663,-46.612603
-23.446616,-46.612899
-23.446581,-46.613671
-23.446576,-46.613883
-23.446553,-46.614152
-23.446676,-46.614433
-23.446769,-46.614637
-23.446842,-46.61473
-23.446945,-46.614791
-23.447087,-46.614878
-23.44726,-46.614962
-23.447381,-46.615021
-23.447505,-46.615075
-23.447574,-46.615081
-23.447665,-46.615088
-23.447801,-46.615089
-23.447896,-46.615079
-23.447965,-46.615068
-23.448079,-46.615041
-23.448151,-46.615011
-23.448485,-46.614873
-23.448531,-46.614867
-23.44862,-46.613288
-23.44864,-46.612921
-23.448672,-46.612416
-23.449159,-46.61243
-23.449687,-46.612439
-23.45056,-46.61246
-23.450605,-46.611873
-23.450645,-46.611236
-23.450176,-46.61101
-23.450004,-46.610933
-23.449679,-46.610776
-23.44943,-46.610655
-23.449319,-46.610598
-23.449231,-46.610536
-23.449204,-46.610514
-23.449115,-46.610418
-23.448996,-46.610281
-23.448906,-46.610166
-23.448699,-46.609895
-23.448693,-46.609883
-23.448714,-46.609826
-23.448654,-46.609733
-23.448616,-46.609659
-23.448583,-46.609551
-23.448576,-46.609454
-23.448593,-46.609273
-23.448612,-46.609111
-23.448634,-46.608958
-23.448658,-46.608821
-23.448696,-46.608772
-23.448685,-46.608672
-23.448615,-46.608489
-23.448583,-46.608408
-23.448542,-46.608324
-23.448467,-46.608195
-23.448488,-46.608172
-23.448557,-46.608102
-23.448643,-46.608022
-23.448731,-46.607942
-23.448785,-46.607973
-23.448977,-46.608054
-23.449132,-46.608093
-23.44928,-46.608096
-23.449336,-46.608094
-23.449392,-46.608087
-23.44944,-46.608075
-23.449507,-46.608056
-23.449593,-46.608033
-23.449681,-46.60801
-23.44975,-46.607995
-23.449853,-46.607984
-23.449938,-46.60799
-23.450096,-46.608035
-23.450169,-46.608076
-23.450267,-46.60814
-23.450339,-46.608186
-23.450409,-46.608231
-23.450514,-46.608289
-23.450566,-46.608314
-23.450576,-46.60824
-23.450572,-46.608184
-23.450563,-46.608163
-23.450538,-46.608101
-23.450504,-46.608023
-23.450456,-46.607928
-23.450423,-46.607866
-23.450316,-46.60772
-23.450202,-46.607609
-23.450134,-46.607517
-23.450236,-46.607501
-23.450319,-46.607506
-23.450457,-46.607541
-23.450672,-46.607624
-23.450692,-46.607634
-23.450717,-46.607631
-23.450744,-46.607624
-23.450782,-46.607579
-23.450858,-46.607437
-23.451071,-46.607057
-23.451273,-46.607146
-23.45141,-46.607207
-23.45171,-46.607317
-23.451982,-46.607416
-23.452267,-46.607527
-23.452375,-46.607556
-23.452456,-46.607566
-23.452639,-46.607616
-23.452902,-46.607692
-23.453003,-46.607717
-23.453132,-46.607766
-23.453218,-46.60784
-23.453278,-46.607929
-23.453362,-46.608052
-23.453428,-46.608131
-23.453482,-46.608137
-23.453524,-46.608129
-23.453617,-46.607736
-23.453635,-46.607643
-23.453662,-46.60748
-23.45374,-46.607165
-23.453815,-46.606817
-23.453826,-46.606764
-23.453877,-46.606539
-23.453982,-46.6061
-23.454112,-46.605587
-23.454098,-46.605472
-23.453962,-46.605484
-23.45388,-46.605487
-23.453834,-46.605487
-23.453795,-46.605475
-23.453768,-46.605467
-23.45368,-46.605413
-23.453631,-46.605308
-23.453616,-46.605264
-23.453605,-46.605214
-23.453605,-46.605179
-23.453604,-46.605121
-23.45362,-46.605067
-23.45363,-46.605043
-23.453658,-46.605008
-23.453698,-46.604966
-23.45377,-46.60491
-23.453811,-46.604885
-23.45385,-46.604867
-23.45391,-46.604812
-23.453983,-46.604732
-23.454034,-46.604636
-23.454113,-46.604473
-23.454449,-46.603565
-23.45459,-46.60321
-23.4546,-46.603195
-23.454635,-46.603139
-23.454683,-46.603085
-23.454747,-46.603026
-23.455081,-46.602969
-23.455325,-46.602923
-23.455389,-46.602892
-23.455454,-46.602844
-23.455485,-46.602792
-23.45555,-46.602689
-23.455602,-46.602604
-23.455647,-46.602532
-23.455847,-46.602599
-23.456061,-46.602662
-23.456139,-46.602679
-23.456198,-46.602696
-23.456353,-46.602714
-23.456593,-46.602682
-23.457168,-46.602603
-23.457468,-46.602529
-23.45755,-46.602527
-23.457651,-46.602531
-23.457759,-46.602509
-23.45818,-46.602444
-23.458513,-46.602381
-23.45864,-46.602369
-23.458776,-46.602382
-23.459077,-46.602428
-23.459535,-46.602486
-23.459903,-46.602556
-23.460846,-46.602685
-23.460956,-46.602696
-23.461107,-46.602718
-23.46127,-46.602747
-23.46137,-46.60276
-23.461598,-46.602813
-23.461847,-46.602893
-23.462357,-46.603066
-23.46282,-46.603226
-23.463087,-46.603328
-23.463592,-46.603453
-23.464485,-46.603689
-23.464668,-46.603949
-23.464975,-46.604445
-23.465033,-46.604619
-23.465069,-46.604715
-23.465008,-46.60484
-23.465557,-46.605096
-23.466313,-46.605445
-23.466967,-46.605747
