lat,long
-23.546922,-46.629805
-23.547048,-46.629723
-23.547164,-46.629633
-23.547274,-46.629554
-23.547463,-46.629418
-23.547557,-46.629353
-23.547629,-46.629298
-23.547744,-46.629219
-23.547875,-46.629216
-23.548012,-46.629448
-23.548137,-46.62967
-23.54826,-46.629755
-23.548416,-46.629788
-23.548473,-46.629737
-23.548548,-46.629687
-23.548803,-46.629514
-23.548912,-46.629443
-23.549058,-46.629332
-23.549131,-46.629269
-23.549206,-46.629229
-23.549419,-46.629109
-23.549437,-46.628774
-23.549426,-46.628578
-23.54942,-46.628466
-23.549413,-46.628366
-23.549404,-46.628324
-23.549385,-46.628252
-23.549313,-46.627943
-23.54923,-46.627777
-23.549161,-46.627648
-23.549141,-46.627616
-23.549116,-46.62758
-23.548949,-46.627332
-23.54874,-46.626963
-23.548623,-46.626782
-23.548541,-46.626647
-23.548446,-46.62649
-23.548274,-46.626219
-23.548119,-46.625968
-23.548048,-46.625854
-23.547656,-46.625237
-23.547427,-46.624879
-23.547249,-46.624528
-23.547157,-46.624307
-23.546639,-46.623174
-23.546443,-46.622749
-23.546264,-46.62236
-23.546124,-46.62205
-23.546006,-46.621783
-23.545983,-46.621733
-23.54584,-46.621411
-23.545557,-46.62078
-23.545521,-46.620694
-23.545314,-46.620357
-23.545253,-46.620258
-23.545056,-46.619913
-23.544903,-46.619642
-23.544844,-46.619613
-23.544788,-46.619582
-23.54475,-46.619535
-23.544686,-46.619438
-23.544535,-46.619195
-23.544482,-46.619107
-23.544251,-46.618717
-23.544132,-46.618529
-23.543756,-46.617922
-23.543652,-46.617753
-23.542963,-46.616631
-23.542607,-46.61605
-23.54246,-46.615809
-23.542183,-46.615364
-23.541814,-46.614769
-23.541436,-46.614165
-23.541241,-46.613856
-23.540666,-46.612936
-23.540266,-46.612294
-23.540048,-46.611616
-23.540033,-46.611558
-23.53985,-46.610852
-23.539745,-46.610431
-23.539499,-46.609479
-23.539256,-46.608328
-23.539196,-46.608045
-23.539188,-46.607998
-23.539111,-46.607471
-23.538996,-46.606657
-23.538921,-46.606137
-23.538854,-46.605701
-23.538778,-46.605137
-23.538631,-46.604176
-23.538434,-46.602881
-23.538332,-46.602213
-23.53833,-46.602202
-23.538256,-46.601374
-23.538222,-46.600865
-23.538178,-46.600168
-23.538147,-46.599725
-23.538099,-46.598969
-23.538055,-46.598252
-23.537763,-46.597011
-23.537552,-46.596071
-23.537306,-46.594984
-23.537267,-46.594657
-23.537153,-46.593672
-23.5371,-46.593342
-23.53708,-46.593027
-23.537047,-46.592649
-23.537014,-46.592265
-23.53694,-46.591578
-23.536879,-46.590809
-23.536846,-46.590388
-23.536789,-46.589899
-23.536683,-46.589346
-23.53661,-46.588954
-23.536475,-46.58824
-23.536203,-46.586899
-23.535914,-46.585813
-23.535566,-46.584481
-23.53546,-46.584113
-23.535405,-46.583786
-23.535304,-46.583046
-23.535289,-46.582927
-23.535275,-46.582796
-23.535257,-46.582685
-23.535137,-46.581856
-23.535092,-46.58155
-23.535032,-46.581044
-23.53501,-46.580842
-23.534975,-46.580419
-23.534967,-46.579835
-23.534969,-46.579717
-23.534998,-46.579065
-23.535009,-46.578818
-23.535017,-46.578588
-23.535048,-46.577938
-23.53505,-46.57784
-23.535075,-46.577171
-23.535087,-46.576897
-23.535103,-46.576492
-23.535145,-46.576031
-23.535164,-46.57594
-23.535251,-46.575536
-23.535431,-46.57467
-23.535525,-46.574203
-23.535638,-46.573646
-23.535642,-46.573586
-23.53566,-46.573536
-23.535799,-46.572822
-23.535888,-46.572405
-23.535939,-46.57213
-23.535949,-46.572007
-23.535936,-46.571918
-23.535908,-46.571735
-23.535874,-46.571512
-23.535777,-46.571053
-23.535762,-46.570984
-23.535652,-46.570683
-23.535643,-46.570656
-23.535589,-46.570514
-23.535392,-46.570109
-23.535332,-46.569978
-23.535021,-46.569348
-23.535001,-46.569299
-23.534675,-46.568638
-23.534655,-46.568604
-23.534598,-46.568413
-23.534541,-46.568177
-23.534295,-46.567434
-23.534007,-46.566564
-23.533808,-46.565968
-23.533693,-46.565664
-23.533411,-46.564824
-23.533276,-46.564438
-23.533064,-46.563804
-23.532893,-46.563309
-23.532851,-46.563186
-23.532698,-46.562718
-23.532513,-46.562147
-23.532452,-46.561958
-23.532344,-46.561671
-23.532245,-46.561392
-23.532113,-46.560988
-23.532725,-46.56079
-23.533335,-46.560618
-23.533767,-46.560492
-23.533924,-46.560449
-23.534619,-46.560253
-23.535219,-46.560081
-23.534894,-46.559147
