lat,long
-23.585265,-46.506402
-23.585261,-46.506337
-23.585243,-46.506153
-23.585228,-46.506023
-23.585211,-46.505885
-23.585207,-46.505647
-23.585233,-46.505594
-23.585278,-46.505571
-23.585335,-46.50557
-23.585677,-46.505655
-23.586131,-46.505769
-23.586369,-46.505823
-23.58658,-46.505878
-23.58675,-46.505932
-23.586959,-46.50601
-23.587296,-46.506195
-23.587647,-46.506397
-23.587924,-46.506563
-23.588163,-46.506715
-23.588342,-46.506784
-23.588552,-46.50687
-23.58895,-46.507039
-23.58944,-46.507196
-23.589551,-46.507232
-23.589833,-46.507315
-23.589716,-46.5077
-23.589641,-46.507959
-23.589601,-46.50815
-23.589588,-46.508242
-23.589489,-46.508814
-23.589457,-46.50903
-23.589421,-46.509221
-23.589401,-46.50932
-23.589372,-46.509451
-23.589265,-46.509777
-23.589239,-46.509844
-23.589024,-46.509902
-23.587945,-46.510151
-23.587464,-46.510265
-23.586993,-46.510379
-23.586534,-46.510489
-23.585991,-46.510608
-23.585743,-46.510671
-23.585573,-46.510707
-23.585106,-46.510823
-23.585003,-46.510846
-23.584842,-46.510848
-23.584809,-46.510803
-23.584793,-46.510776
-23.584769,-46.510737
-23.584743,-46.510664
-23.584698,-46.510532
-23.584655,-46.510414
-23.584594,-46.510353
-23.584589,-46.510258
-23.584534,-46.510182
-23.584487,-46.510114
-23.584476,-46.510089
-23.584446,-46.510018
-23.584441,-46.509951
-23.584426,-46.509745
-23.584198,-46.509771
-23.584046,-46.509792
-23.583953,-46.509796
-23.583879,-46.50979
-23.583732,-46.509784
-23.583278,-46.509724
-23.583076,-46.509697
-23.582854,-46.509698
-23.582331,-46.509719
-23.582077,-46.509736
-23.581797,-46.509746
-23.581528,-46.509751
-23.581237,-46.509762
-23.580874,-46.509783
-23.580657,-46.50979
-23.580344,-46.509802
-23.58036,-46.509673
-23.580369,-46.509474
-23.580358,-46.509284
-23.580332,-46.509149
-23.580316,-46.509039
-23.5803,-46.508957
-23.580294,-46.508913
-23.580218,-46.508523
-23.580205,-46.508433
-23.580194,-46.508361
-23.580174,-46.50812
-23.580163,-46.507942
-23.580141,-46.507606
-23.580123,-46.507123
-23.579998,-46.507133
-23.580005,-46.507274
-23.580045,-46.507632
-23.580091,-46.50807
-23.580131,-46.508441
-23.580153,-46.508609
-23.580177,-46.508873
-23.580185,-46.508999
-23.580179,-46.509045
-23.580163,-46.509156
-23.580136,-46.509284
-23.580122,-46.509343
-23.580113,-46.509476
-23.580006,-46.509809
-23.579803,-46.510391
-23.579767,-46.510452
-23.579741,-46.510528
-23.579583,-46.511022
-23.579502,-46.51132
-23.579448,-46.511549
-23.579412,-46.511795
-23.579401,-46.511994
-23.579396,-46.512053
-23.579394,-46.512165
-23.579401,-46.512315
-23.579364,-46.512435
-23.579312,-46.512561
-23.579225,-46.512679
-23.578958,-46.513029
-23.578882,-46.513133
-23.578743,-46.513295
-23.578604,-46.51348
-23.578475,-46.513643
-23.578187,-46.514017
-23.577821,-46.514442
-23.577419,-46.51489
-23.577294,-46.51507
-23.577224,-46.515214
-23.577171,-46.515342
-23.577114,-46.515578
-23.576993,-46.516075
-23.576927,-46.516369
-23.57687,-46.516514
-23.576824,-46.516632
-23.576744,-46.516777
-23.576712,-46.516838
-23.576667,-46.516951
-23.57658,-46.517218
-23.576477,-46.517553
-23.576404,-46.517808
-23.576327,-46.518161
-23.576291,-46.518395
-23.576262,-46.518585
-23.576234,-46.518789
-23.576229,-46.518836
-23.576194,-46.519184
-23.576183,-46.519348
-23.576163,-46.519597
-23.576158,-46.519721
-23.576152,-46.519889
-23.576154,-46.519921
-23.576152,-46.51997
-23.576148,-46.520011
-23.576166,-46.520133
-23.576187,-46.520254
-23.576202,-46.520326
-23.57623,-46.520459
-23.576252,-46.520562
-23.576265,-46.520614
-23.576308,-46.520784
-23.576382,-46.521044
-23.576445,-46.521237
-23.576486,-46.521393
-23.576513,-46.521499
-23.576565,-46.521681
-23.57661,-46.521857
-23.576632,-46.521995
-23.57665,-46.522106
-23.576671,-46.522238
-23.576687,-46.522332
-23.576702,-46.522632
-23.576709,-46.522745
-23.576704,-46.522825
-23.576704,-46.522901
-23.576746,-46.523143
-23.576775,-46.523303
-23.576869,-46.523684
-23.576915,-46.523853
-23.577001,-46.524096
-23.577042,-46.524209
-23.577131,-46.524382
-23.57724,-46.524535
-23.577448,-46.524801
-23.577543,-46.524875
-23.577576,-46.52488
-23.577606,-46.524874
-23.57757,-46.524918
-23.57755,-46.525028
-23.577528,-46.525134
-23.577501,-46.52522
-23.577475,-46.525308
-23.577445,-46.525368
-23.577174,-46.52582
-23.57707,-46.525987
-23.576832,-46.526372
-23.576644,-46.526691
-23.576533,-46.526982
-23.576461,-46.52717
-23.576409,-46.527386
-23.576184,-46.528231
-23.576038,-46.52877
-23.575884,-46.528747
-23.575732,-46.528735
-23.57563,-46.528747
-23.575571,-46.52877
-23.575488,-46.528846
-23.575467,-46.528882
-23.57508,-46.529478
-23.574854,-46.529837
-23.574674,-46.530115
-23.574559,-46.530331
-23.574378,-46.530694
-23.574145,-46.531156
-23.57399,-46.531458
-23.573956,-46.531523
-23.573867,-46.531707
-23.573866,-46.531736
-23.573866,-46.531801
-23.573864,-46.531901
-23.573835,-46.532025
-23.573815,-46.532118
-23.573792,-46.532229
-23.573764,-46.532285
-23.573734,-46.532338
-23.573676,-46.532424
-23.573618,-46.532506
-23.573597,-46.53253
-23.5735,-46.532636
-23.573406,-46.532727
-23.57319,-46.532925
-23.573027,-46.5331
-23.573011,-46.533117
-23.573014,-46.533172
-23.573014,-46.533302
-23.573013,-46.533396
-23.573004,-46.533601
-23.572972,-46.533783
-23.572943,-46.533909
-23.572922,-46.534001
-23.572879,-46.534127
-23.572847,-46.534197
-23.572746,-46.53444
-23.572661,-46.534615
-23.571741,-46.536594
-23.571564,-46.53696
-23.571403,-46.537344
-23.571247,-46.537712
-23.571126,-46.538052
-23.570938,-46.538579
-23.570873,-46.538764
-23.570763,-46.539081
-23.570552,-46.539682
-23.570354,-46.540257
-23.570307,-46.540339
-23.570263,-46.540403
-23.57016,-46.540536
-23.570053,-46.540579
-23.569965,-46.540602
-23.569934,-46.540602
-23.569877,-46.540603
-23.569777,-46.54057
-23.569472,-46.540373
-23.569375,-46.54035
-23.569201,-46.540315
-23.569113,-46.540361
-23.568965,-46.540437
-23.56848,-46.540694
-23.56817,-46.540863
-23.568085,-46.540916
-23.568007,-46.540972
-23.567844,-46.541114
-23.567716,-46.541267
-23.567677,-46.541311
-23.567576,-46.541477
-23.567537,-46.541554
-23.567473,-46.541706
-23.567362,-46.542027
-23.567344,-46.541975
-23.567335,-46.541927
-23.567333,-46.541773
-23.567089,-46.541758
-23.566673,-46.541746
-23.566455,-46.541754
-23.56609,-46.541806
-23.565879,-46.541858
-23.565826,-46.54188
-23.565638,-46.541962
-23.565499,-46.542044
-23.565118,-46.542249
-23.564865,-46.542407
-23.564444,-46.542718
-23.564227,-46.542821
-23.564016,-46.542901
-23.563865,-46.542928
-23.563818,-46.542934
-23.563677,-46.542944
-23.563626,-46.54294
-23.563348,-46.542877
-23.563119,-46.542739
-23.563078,-46.542724
-23.563003,-46.542602
-23.562945,-46.542522
-23.562858,-46.542394
-23.56197,-46.541522
-23.561854,-46.541381
-23.561801,-46.54131
-23.561731,-46.541165
-23.561726,-46.541119
-23.561685,-46.540938
-23.561673,-46.540851
-23.561667,-46.540666
-23.561218,-46.540603
-23.560936,-46.540715
-23.560165,-46.541017
-23.559872,-46.541129
-23.558399,-46.541697
-23.558121,-46.541806
-23.557869,-46.541895
-23.557786,-46.541925
-23.557741,-46.541943
-23.557497,-46.542039
-23.556188,-46.542556
-23.55575,-46.542721
-23.555658,-46.5427
-23.555626,-46.542773
-23.5555,-46.542824
-23.555349,-46.542882
-23.55517,-46.542957
-23.554954,-46.543033
-23.553737,-46.543509
-23.553596,-46.543567
-23.553492,-46.543563
-23.553194,-46.543422
-23.553018,-46.543324
-23.55208,-46.542834
-23.551134,-46.542337
-23.550196,-46.541853
-23.549693,-46.541586
-23.549261,-46.541358
-23.548317,-46.540856
-23.547559,-46.54046
-23.547367,-46.540339
-23.547329,-46.540328
-23.546991,-46.541099
-23.546878,-46.541367
-23.546776,-46.54159
-23.546626,-46.5419
-23.546519,-46.542155
-23.546416,-46.542382
-23.546084,-46.543114
-23.545951,-46.54341
-23.545841,-46.543671
-23.545813,-46.543732
-23.545602,-46.544187
-23.545588,-46.544213
-23.545563,-46.544292
-23.545394,-46.544695
-23.545062,-46.545401
-23.54498,-46.545503
-23.544944,-46.545533
-23.544556,-46.545821
-23.544117,-46.546146
-23.543962,-46.546267
-23.543497,-46.546597
-23.543439,-46.546656
-23.543297,-46.546803
-23.542861,-46.547998
-23.542857,-46.548081
-23.542826,-46.548082
-23.54277,-46.548106
-23.542349,-46.548308
-23.542142,-46.548542
-23.541359,-46.549561
-23.541117,-46.549877
-23.541039,-46.54998
-23.540922,-46.550139
-23.540798,-46.550324
-23.540702,-46.550521
-23.540501,-46.550944
-23.540564,-46.551322
-23.540694,-46.551963
-23.540765,-46.552331
-23.540955,-46.553314
-23.541091,-46.554019
-23.541251,-46.554841
-23.541391,-46.55557
-23.541666,-46.557019
-23.541868,-46.558074
-23.541952,-46.558511
-23.542049,-46.558998
-23.54208,-46.559133
-23.542166,-46.559577
-23.542236,-46.559965
-23.542438,-46.56098
-23.542571,-46.561657
-23.542806,-46.562845
-23.542963,-46.563626
-23.54308,-46.564217
-23.543238,-46.565017
-23.543398,-46.565801
-23.543587,-46.566755
-23.543435,-46.566793
-23.543386,-46.566803
-23.543062,-46.566881
-23.543267,-46.567942
-23.543553,-46.569444
-23.543674,-46.570081
-23.543746,-46.570441
-23.543939,-46.571421
-23.544056,-46.571985
-23.544119,-46.572328
-23.544218,-46.572843
-23.544915,-46.572707
-23.544948,-46.572875
-23.54505,-46.573422
-23.545134,-46.573853
-23.545168,-46.574035
-23.545178,-46.574072
-23.545183,-46.574112
-23.545237,-46.574395
-23.545355,-46.575025
-23.545375,-46.575124
-23.54539,-46.575198
-23.545384,-46.575288
-23.545353,-46.575383
-23.545347,-46.575398
-23.545227,-46.57558
-23.54519,-46.575639
-23.544686,-46.576471
-23.544018,-46.576641
-23.54301,-46.576888
-23.54251,-46.577019
-23.542241,-46.57708
-23.542214,-46.577152
-23.542412,-46.578032
-23.542363,-46.578066
-23.542317,-46.578084
-23.542096,-46.578139
-23.541583,-46.578259
-23.541518,-46.578281
-23.541461,-46.578066
-23.541273,-46.577571
-23.541157,-46.577272
-23.541105,-46.577142
-23.54108,-46.577036
-23.54105,-46.576894
-23.541028,-46.57678
-23.541013,-46.576704
-23.540987,-46.576582
