lat,long
-23.546769,-46.616528
-23.546725,-46.616453
-23.546566,-46.616176
-23.54652,-46.616144
-23.546439,-46.616016
-23.547034,-46.615634
-23.547384,-46.615391
-23.54787,-46.615052
-23.547963,-46.615171
-23.547994,-46.615208
-23.548032,-46.615296
-23.548063,-46.615371
-23.548198,-46.615603
-23.548434,-46.616012
-23.548502,-46.616121
-23.548564,-46.616231
-23.549064,-46.617082
-23.549451,-46.617745
-23.549565,-46.617951
-23.549743,-46.617826
-23.550355,-46.617395
-23.550984,-46.616952
-23.551252,-46.616763
-23.552405,-46.615956
-23.552595,-46.615819
-23.552568,-46.616062
-23.552486,-46.6169
-23.552403,-46.617723
-23.552351,-46.618227
-23.55232,-46.618601
-23.552308,-46.618635
-23.552233,-46.619447
-23.552133,-46.620254
-23.551949,-46.621709
-23.551915,-46.622096
-23.55189,-46.622347
-23.551734,-46.623457
-23.551592,-46.624329
-23.551549,-46.624591
-23.55152,-46.624679
-23.551492,-46.624733
-23.551443,-46.624795
-23.551398,-46.624848
-23.551361,-46.624879
-23.55131,-46.624924
-23.55122,-46.624952
-23.550746,-46.625059
-23.550725,-46.625062
-23.550552,-46.625159
-23.55002,-46.625302
-23.549769,-46.625388
-23.549694,-46.625418
-23.549412,-46.625537
-23.548666,-46.625982
-23.548488,-46.626107
-23.548274,-46.626219
-23.548209,-46.626261
-23.548114,-46.626302
-23.547944,-46.626355
-23.547826,-46.626382
-23.547646,-46.626411
-23.547263,-46.626465
-23.547075,-46.626468
-23.546949,-46.626453
-23.546826,-46.626443
-23.546543,-46.626421
-23.546277,-46.626384
-23.546133,-46.626382
-23.545748,-46.626344
-23.545462,-46.626339
-23.545154,-46.626325
-23.54497,-46.626415
-23.54484,-46.626552
-23.544662,-46.626713
-23.544513,-46.626812
-23.544438,-46.626843
-23.544335,-46.626873
-23.544094,-46.626935
-23.543823,-46.626994
-23.543712,-46.627008
-23.54357,-46.627023
-23.543517,-46.627026
-23.543274,-46.62702
-23.54316,-46.627026
-23.542804,-46.627061
-23.542706,-46.627072
-23.54255,-46.62712
-23.542421,-46.627194
-23.542264,-46.627327
-23.542162,-46.627435
-23.541986,-46.627637
-23.541571,-46.628127
-23.541293,-46.628463
-23.540417,-46.629495
-23.540277,-46.629677
-23.540201,-46.629828
-23.540126,-46.629972
-23.540076,-46.630087
-23.540025,-46.630246
-23.539912,-46.630725
-23.539584,-46.632076
-23.53945,-46.632645
-23.539397,-46.63287
-23.539395,-46.632896
-23.539393,-46.633336
-23.539388,-46.633454
-23.539387,-46.633664
-23.539382,-46.633769
-23.539368,-46.633946
