lat,long
-23.598485,-46.636906
-23.598483,-46.636844
-23.598481,-46.636741
-23.599052,-46.636741
-23.599184,-46.636738
-23.599644,-46.636748
-23.599643,-46.63723
-23.599647,-46.637656
-23.599655,-46.638394
-23.599513,-46.638393
-23.599359,-46.63839
-23.598496,-46.638371
-23.598505,-46.639162
-23.598513,-46.639902
-23.598509,-46.640874
-23.598507,-46.641066
-23.59851,-46.641117
-23.598522,-46.641365
-23.598511,-46.641432
-23.598491,-46.64184
-23.59846,-46.642268
-23.598411,-46.642744
-23.598308,-46.644062
-23.598257,-46.644627
-23.598205,-46.645355
-23.598132,-46.646092
-23.598074,-46.646672
-23.597973,-46.647979
-23.597938,-46.648359
-23.597861,-46.649291
-23.597753,-46.650591
-23.59771,-46.651086
-23.597606,-46.652282
-23.597507,-46.653398
-23.59748,-46.653684
-23.597446,-46.654076
-23.597369,-46.654973
-23.597329,-46.655267
-23.597259,-46.655584
-23.597085,-46.656009
-23.597035,-46.656114
-23.597693,-46.656732
-23.599583,-46.658505
-23.599988,-46.658902
-23.600069,-46.658985
-23.600852,-46.659753
-23.601643,-46.660493
-23.602172,-46.660984
-23.602443,-46.661233
-23.603235,-46.661968
-23.60376,-46.66247
-23.603844,-46.662547
-23.60403,-46.662721
-23.604182,-46.662866
-23.604411,-46.663085
-23.604611,-46.663268
-23.605246,-46.66387
-23.6056,-46.66421
-23.605785,-46.664377
-23.606397,-46.664951
-23.607184,-46.665689
-23.607977,-46.66643
-23.608774,-46.667179
-23.609573,-46.667918
-23.609819,-46.668155
-23.61021,-46.668524
-23.610361,-46.668663
-23.610626,-46.66893
-23.610867,-46.669169
-23.611135,-46.669429
-23.611368,-46.669639
-23.611945,-46.67015
-23.612251,-46.670421
-23.612891,-46.67103
-23.613227,-46.671348
-23.613815,-46.671901
-23.614212,-46.672279
-23.615047,-46.673069
-23.615355,-46.673356
-23.616146,-46.674099
-23.616923,-46.674836
-23.617708,-46.675546
-23.618368,-46.67617
-23.618518,-46.676321
-23.619299,-46.677062
-23.620097,-46.677816
-23.620544,-46.678235
-23.620885,-46.678566
-23.621518,-46.679163
-23.621789,-46.679419
-23.621929,-46.679545
-23.622392,-46.679966
-23.62292,-46.680465
-23.623982,-46.681451
-23.624065,-46.681521
-23.624975,-46.682413
-23.625004,-46.682518
-23.625226,-46.682693
-23.625308,-46.682772
-23.625521,-46.683006
-23.625619,-46.683042
-23.626094,-46.683494
-23.626519,-46.683886
-23.627029,-46.684382
-23.627324,-46.68454
-23.628739,-46.685892
-23.629207,-46.686362
-23.629427,-46.68653
-23.629683,-46.686758
-23.629966,-46.686991
-23.630713,-46.687689
-23.63087,-46.687836
-23.631218,-46.688169
-23.631965,-46.688876
-23.632745,-46.689614
-23.632954,-46.689826
-23.633041,-46.689903
-23.633099,-46.689986
-23.633741,-46.69062
-23.63399,-46.690866
-23.634449,-46.691319
-23.635075,-46.691909
-23.635268,-46.692078
-23.636246,-46.693017
-23.636262,-46.693093
-23.636325,-46.693094
-23.636425,-46.693189
-23.636541,-46.693296
-23.636626,-46.693373
-23.636782,-46.693511
-23.636955,-46.693666
-23.637382,-46.694088
-23.637823,-46.694519
-23.638174,-46.694857
-23.638849,-46.695489
-23.639087,-46.695731
-23.640125,-46.696691
-23.640358,-46.696939
-23.640178,-46.697268
-23.639796,-46.697904
-23.640263,-46.698204
-23.640569,-46.698395
-23.640705,-46.698494
-23.641257,-46.698824
-23.642652,-46.699691
-23.642804,-46.699821
-23.642967,-46.700027
-23.643088,-46.700189
-23.643402,-46.700622
-23.643618,-46.700913
-23.643816,-46.701074
-23.643869,-46.70115
-23.643986,-46.701242
-23.644123,-46.701315
-23.645275,-46.702132
-23.64684,-46.703204
-23.648488,-46.704356
-23.649388,-46.704987
-23.649666,-46.705198
-23.649949,-46.70582
-23.650065,-46.706137
-23.650298,-46.706726
-23.650442,-46.707109
-23.65065,-46.707607
-23.650752,-46.708029
-23.6509,-46.708548
-23.651003,-46.708916
-23.651064,-46.709105
-23.651143,-46.709094
-23.652037,-46.708814
-23.652255,-46.708738
-23.653236,-46.708448
-23.654021,-46.7082
-23.653973,-46.708345
-23.65403,-46.708697
-23.654038,-46.708789
-23.654038,-46.70895
-23.654024,-46.709046
-23.65401,-46.709126
-23.653997,-46.709199
-23.653975,-46.709322
-23.653957,-46.709423
-23.653954,-46.709483
-23.653949,-46.709595
-23.653945,-46.70969
-23.653931,-46.710008
-23.653923,-46.71018
-23.653912,-46.710419
-23.653902,-46.710652
-23.653856,-46.710867
-23.653851,-46.710893
-23.653831,-46.711041
-23.65384,-46.71115
-23.653866,-46.711465
-23.653867,-46.711478
-23.653895,-46.711664
-23.653899,-46.711692
-23.653975,-46.712192
-23.654005,-46.712468
-23.6541,-46.71275
-23.654159,-46.712922
-23.654166,-46.712969
-23.654262,-46.71297
-23.654317,-46.712952
-23.654324,-46.712891
-23.65432,-46.712826
-23.654184,-46.712486
-23.654156,-46.712419
-23.654145,-46.712339
-23.654131,-46.712238
-23.654122,-46.712171
-23.654113,-46.712095
-23.654103,-46.712017
-23.6541,-46.711996
-23.654082,-46.711864
-23.654068,-46.711758
