lat,long
-23.654214,-46.711265
-23.65421,-46.711233
-23.654199,-46.711152
-23.654194,-46.711112
-23.654189,-46.711075
-23.654158,-46.710696
-23.654158,-46.710688
-23.654158,-46.710666
-23.654157,-46.71064
-23.654157,-46.710618
-23.654157,-46.710597
-23.654157,-46.710568
-23.654156,-46.710438
-23.654156,-46.710408
-23.654153,-46.710012
-23.654184,-46.709766
-23.654253,-46.709345
-23.654185,-46.708907
-23.654182,-46.708865
-23.654086,-46.708285
-23.654021,-46.7082
-23.654325,-46.708108
-23.655291,-46.707798
-23.655345,-46.707823
-23.655399,-46.707847
-23.655469,-46.707865
-23.655513,-46.707864
-23.655613,-46.707854
-23.655678,-46.707834
-23.655937,-46.707708
-23.656005,-46.707673
-23.656205,-46.707572
-23.657572,-46.706968
-23.658293,-46.706641
-23.658466,-46.706488
-23.658514,-46.706363
-23.65862,-46.706045
-23.65869,-46.70577
-23.658755,-46.705717
-23.658834,-46.705647
-23.659506,-46.705159
-23.659898,-46.705012
-23.660253,-46.704877
-23.660309,-46.704855
-23.660393,-46.704822
-23.660553,-46.705132
-23.660742,-46.705341
-23.660936,-46.705509
-23.661168,-46.705789
-23.661262,-46.705887
-23.661622,-46.706166
-23.661828,-46.706325
-23.661914,-46.706382
-23.661954,-46.706415
-23.66204,-46.706511
-23.662092,-46.706571
-23.662278,-46.706733
-23.663138,-46.707574
-23.663339,-46.707825
-23.663282,-46.707902
-23.663261,-46.707932
-23.663098,-46.708081
-23.663033,-46.708146
-23.663007,-46.708204
-23.66299,-46.708273
-23.662979,-46.708346
-23.663032,-46.708421
-23.663351,-46.708882
-23.66369,-46.709368
-23.663878,-46.709634
-23.663924,-46.709765
-23.66391,-46.709827
-23.663877,-46.709904
-23.663878,-46.709953
-23.66347,-46.710208
-23.662971,-46.710588
-23.662583,-46.710828
-23.661973,-46.711231
-23.661874,-46.711302
-23.661349,-46.711735
-23.660998,-46.712069
-23.660541,-46.71251
-23.659586,-46.713621
-23.65978,-46.713778
-23.660307,-46.713165
-23.660912,-46.712538
-23.66125,-46.7122
-23.661835,-46.711672
-23.661998,-46.711525
-23.662121,-46.711428
-23.662566,-46.711081
-23.663351,-46.710497
-23.663838,-46.710151
-23.664577,-46.709657
-23.664637,-46.709612
-23.664792,-46.709478
-23.664933,-46.709342
-23.665078,-46.709182
-23.665257,-46.708932
-23.665456,-46.708574
-23.665793,-46.707963
-23.666158,-46.707356
-23.666479,-46.706901
-23.666543,-46.706816
-23.666833,-46.706522
-23.667036,-46.706356
-23.668165,-46.705595
-23.668896,-46.705133
-23.66949,-46.704713
-23.669657,-46.704586
-23.671038,-46.703434
-23.671164,-46.703326
-23.671908,-46.702696
-23.672145,-46.702494
-23.672917,-46.701823
-23.673518,-46.701314
-23.673734,-46.701128
-23.674159,-46.700756
-23.674912,-46.700125
-23.675318,-46.699772
-23.675444,-46.699683
-23.675804,-46.69937
-23.675977,-46.699202
-23.676553,-46.698703
-23.676913,-46.698403
-23.677417,-46.697958
-23.677685,-46.697772
-23.677923,-46.697588
-23.678813,-46.6968
-23.679403,-46.696301
-23.680252,-46.695573
-23.68155,-46.694472
-23.681911,-46.694174
-23.682549,-46.69361
-23.682724,-46.693435
-23.682845,-46.693326
-23.683106,-46.693114
-23.683765,-46.692579
-23.684023,-46.69235
-23.684123,-46.692272
-23.684232,-46.692227
-23.684296,-46.692222
-23.684376,-46.692222
-23.684448,-46.692247
-23.684834,-46.692591
-23.685172,-46.692863
-23.685257,-46.692933
-23.685475,-46.693144
-23.685497,-46.693165
-23.686099,-46.693588
-23.686333,-46.693834
-23.686372,-46.69387
-23.6865,-46.694029
-23.686631,-46.694205
-23.686753,-46.694395
-23.686889,-46.694626
-23.687016,-46.694852
-23.687334,-46.69545
-23.687534,-46.695807
-23.687664,-46.696051
-23.687812,-46.696324
-23.687928,-46.696532
-23.687979,-46.696605
-23.688118,-46.696758
-23.688215,-46.696859
-23.68836,-46.697006
-23.688456,-46.697081
-23.688601,-46.697202
-23.688756,-46.697292
-23.688864,-46.697358
-23.689142,-46.697475
-23.689314,-46.697543
-23.6894,-46.697576
-23.689712,-46.697669
-23.689779,-46.697672
-23.68984,-46.697705
-23.689929,-46.697733
-23.69064,-46.697948
-23.69095,-46.698041
-23.692089,-46.698397
-23.692356,-46.698473
-23.692447,-46.698496
-23.692534,-46.698512
-23.692908,-46.698644
-23.69308,-46.698697
-23.69353,-46.698893
-23.694347,-46.699297
-23.694494,-46.699364
-23.694571,-46.699381
-23.694639,-46.699434
-23.695661,-46.699951
-23.695759,-46.699998
-23.695858,-46.700035
-23.696251,-46.700175
-23.696439,-46.700231
-23.696938,-46.700364
-23.697958,-46.700633
-23.698369,-46.70075
-23.698683,-46.700839
-23.698866,-46.700879
-23.699345,-46.700996
-23.699712,-46.701099
-23.700209,-46.701234
-23.700532,-46.701318
-23.700722,-46.701369
-23.700846,-46.701404
-23.701002,-46.701443
-23.701207,-46.701499
-23.70169,-46.70163
-23.702605,-46.701867
-23.702937,-46.701941
-23.703753,-46.702169
-23.704578,-46.702398
-23.704872,-46.702466
-23.705178,-46.702555
-23.705226,-46.702521
-23.705268,-46.702498
-23.705326,-46.702461
-23.705352,-46.702432
-23.705424,-46.702406
-23.705453,-46.702299
-23.705526,-46.702026
