lat,long
-23.585115,-46.583694
-23.585103,-46.583736
-23.585089,-46.583782
-23.585051,-46.58391
-23.585029,-46.583993
-23.584994,-46.584122
-23.584975,-46.58419
-23.584978,-46.584259
-23.584763,-46.584267
-23.58461,-46.584285
-23.584491,-46.584297
-23.58417,-46.58433
-23.584126,-46.584337
-23.583934,-46.584413
-23.583813,-46.584461
-23.583714,-46.5845
-23.583563,-46.584611
-23.583443,-46.584736
-23.583365,-46.584841
-23.583277,-46.584928
-23.583177,-46.584972
-23.583039,-46.585032
-23.582863,-46.585108
-23.58273,-46.585166
-23.582484,-46.585264
-23.58243,-46.585285
-23.581665,-46.585591
-23.581431,-46.585177
-23.58137,-46.585069
-23.581061,-46.584376
-23.580812,-46.58379
-23.580555,-46.583203
-23.580037,-46.582057
-23.579898,-46.581743
-23.579524,-46.580918
-23.579211,-46.580211
-23.579014,-46.579765
-23.578588,-46.578806
-23.578422,-46.578423
-23.578233,-46.577999
-23.577995,-46.577467
-23.577703,-46.57681
-23.5777,-46.576743
-23.577695,-46.57665
-23.57773,-46.576484
-23.577734,-46.576295
-23.577717,-46.576178
-23.577684,-46.576056
-23.57764,-46.575943
-23.577712,-46.575772
-23.577972,-46.575254
-23.578068,-46.575076
-23.578789,-46.573636
-23.579032,-46.573164
-23.579402,-46.572438
-23.579396,-46.572331
-23.579409,-46.572226
-23.579422,-46.57217
-23.579441,-46.572067
-23.57945,-46.572031
-23.579487,-46.571935
-23.579498,-46.571901
-23.579566,-46.571785
-23.579591,-46.571663
-23.579674,-46.571316
-23.579707,-46.571135
-23.579888,-46.570402
-23.579921,-46.570266
-23.57998,-46.570004
-23.580016,-46.569842
-23.580301,-46.569158
-23.580372,-46.568993
-23.580815,-46.567982
-23.580879,-46.567832
-23.581033,-46.567485
-23.581091,-46.567324
-23.581133,-46.567208
-23.581158,-46.567044
-23.581261,-46.566411
-23.581348,-46.565841
-23.581384,-46.565625
-23.581409,-46.564904
-23.581419,-46.564672
-23.581419,-46.564326
-23.581428,-46.564099
-23.581432,-46.563909
-23.581438,-46.563687
-23.581447,-46.563327
-23.581422,-46.563187
-23.581388,-46.563004
-23.581293,-46.562579
-23.581228,-46.562309
-23.58116,-46.562013
-23.581012,-46.56135
-23.580935,-46.56104
-23.580763,-46.560266
-23.58069,-46.559877
-23.58069,-46.559774
-23.580708,-46.559593
-23.580723,-46.559391
-23.580755,-46.559007
-23.580873,-46.557881
-23.580909,-46.557564
-23.580962,-46.557081
-23.581012,-46.556545
-23.581029,-46.556387
-23.581038,-46.556275
-23.581115,-46.555646
-23.581155,-46.555471
-23.581223,-46.5552
-23.581341,-46.554727
-23.581503,-46.554106
-23.58167,-46.553424
-23.581882,-46.552639
-23.582065,-46.551929
-23.582209,-46.551475
-23.582283,-46.551236
-23.582472,-46.550785
-23.582601,-46.550469
-23.582694,-46.550205
-23.582763,-46.550051
-23.58293,-46.549614
-23.583086,-46.549205
-23.583271,-46.548754
-23.583346,-46.548558
-23.583415,-46.548365
-23.583477,-46.548166
-23.583536,-46.547919
-23.58361,-46.547594
-23.583644,-46.547472
-23.583719,-46.547391
-23.584111,-46.54701
-23.584288,-46.546842
-23.584463,-46.546674
-23.584553,-46.546618
-23.584689,-46.546506
-23.584899,-46.546335
-23.584961,-46.546248
-23.585032,-46.546132
-23.585205,-46.545807
-23.585254,-46.545738
-23.585315,-46.545638
-23.58568,-46.54543
-23.585803,-46.545369
-23.586152,-46.545205
-23.586217,-46.545152
-23.586267,-46.545112
-23.586609,-46.544803
-23.586624,-46.544792
-23.586893,-46.544546
-23.58743,-46.544116
-23.58745,-46.5441
-23.587866,-46.543819
-23.588162,-46.543601
-23.589099,-46.542915
-23.58931,-46.542752
-23.589547,-46.542585
-23.589803,-46.542401
-23.590111,-46.54217
-23.590449,-46.541903
-23.590654,-46.54166
-23.590788,-46.541467
-23.591182,-46.54084
-23.591316,-46.540636
-23.591366,-46.54057
-23.591411,-46.540527
-23.591506,-46.540448
-23.59158,-46.540408
-23.591838,-46.54028
-23.591965,-46.540218
-23.592033,-46.540186
-23.592097,-46.540144
-23.592222,-46.54006
-23.592335,-46.539966
-23.592538,-46.539767
-23.592793,-46.539518
-23.593048,-46.539266
-23.593322,-46.538993
-23.594079,-46.538242
-23.594393,-46.537927
-23.594638,-46.537652
-23.594867,-46.537378
-23.595369,-46.536682
-23.595689,-46.536231
-23.595783,-46.536098
-23.595857,-46.535983
-23.596014,-46.535749
-23.596168,-46.535509
-23.596345,-46.53522
-23.596362,-46.535182
-23.596381,-46.535169
-23.596418,-46.535107
-23.596476,-46.535002
-23.596578,-46.534799
-23.596679,-46.534586
-23.596713,-46.534506
-23.596755,-46.534396
-23.596855,-46.534114
-23.596901,-46.533968
-23.597088,-46.533416
-23.597121,-46.533309
-23.597177,-46.533142
-23.597241,-46.532958
-23.597328,-46.532686
-23.59742,-46.532388
-23.59748,-46.532214
-23.597547,-46.531921
-23.59757,-46.531747
-23.597561,-46.531684
-23.597519,-46.531442
-23.597433,-46.531157
-23.59737,-46.530928
-23.597358,-46.530924
-23.597271,-46.530614
-23.597271,-46.530598
-23.59725,-46.530524
-23.59723,-46.530446
-23.597206,-46.530367
-23.597107,-46.529998
-23.597005,-46.529629
-23.596983,-46.529548
-23.596936,-46.529387
-23.596694,-46.528514
-23.596532,-46.52794
-23.596422,-46.527546
-23.596349,-46.527283
-23.596304,-46.527125
-23.596231,-46.526863
-23.596187,-46.526691
-23.596088,-46.526333
-23.595974,-46.525921
-23.59576,-46.525145
-23.595659,-46.524786
-23.595608,-46.524595
-23.595544,-46.524341
-23.595722,-46.524199
-23.595759,-46.524163
-23.595916,-46.524025
-23.596035,-46.523935
-23.59661,-46.523511
-23.596708,-46.52344
-23.597256,-46.52305
-23.59737,-46.522968
-23.597373,-46.522952
-23.597389,-46.522953
-23.597407,-46.52294
-23.597459,-46.522902
-23.597677,-46.522743
-23.598035,-46.522479
-23.598092,-46.522438
-23.598182,-46.522349
-23.59824,-46.522259
-23.598261,-46.522199
-23.598288,-46.522125
-23.598314,-46.522049
-23.598323,-46.52201
-23.598352,-46.521883
-23.598357,-46.521836
-23.598391,-46.521521
-23.598419,-46.521249
-23.598453,-46.520968
-23.598534,-46.520309
-23.598573,-46.520007
-23.59862,-46.519606
-23.598689,-46.519062
-23.598697,-46.518976
-23.598757,-46.518478
-23.598831,-46.517843
-23.598909,-46.517198
-23.598957,-46.516798
-23.598942,-46.516763
-23.598963,-46.516735
-23.598979,-46.516622
-23.598996,-46.516465
-23.59903,-46.516191
-23.599043,-46.516085
-23.599064,-46.51591
-23.59907,-46.515838
-23.599099,-46.515594
-23.599188,-46.51536
-23.599291,-46.515114
-23.599402,-46.514851
-23.599489,-46.514622
-23.599665,-46.514193
-23.599851,-46.513731
-23.59996,-46.513456
-23.600045,-46.51322
