lat,long
-23.59735,-46.69123
-23.59731,-46.69131
-23.59731,-46.69138
-23.5974,-46.69156
-23.59766,-46.69156
-23.59785,-46.69151
-23.59854,-46.69126
-23.59906,-46.69107
-23.59931,-46.69103
-23.59955,-46.69101
-23.59976,-46.69102
-23.6003,-46.6912
-23.60141,-46.6916
-23.60258,-46.69203
-23.6047,-46.69283
-23.60569,-46.69319
-23.60693,-46.69362
-23.60748,-46.69383
-23.60821,-46.69408
-23.60906,-46.69441
-23.60958,-46.69462
-23.61002,-46.69475
-23.61041,-46.6949
-23.61172,-46.69538
-23.61327,-46.69593
-23.6142,-46.69624
-23.61613,-46.69693
-23.61655,-46.69706
-23.61719,-46.69731
-23.61808,-46.69761
-23.61884,-46.6979
-23.61911,-46.69801
-23.61979,-46.69826
-23.62021,-46.69839
-23.62094,-46.69866
-23.62116,-46.69844
-23.62151,-46.69814
-23.62203,-46.69773
-23.62265,-46.69717
-23.62317,-46.69673
-23.62343,-46.6965
-23.62367,-46.69624
-23.62395,-46.69583
-23.62509,-46.69348
-23.62548,-46.69268
-23.62566,-46.69217
-23.62581,-46.69168
-23.62589,-46.69131
-23.62591,-46.69081
-23.62584,-46.68982
-23.62579,-46.68899
-23.6258,-46.68878
-23.62583,-46.68865
-23.62593,-46.68841
-23.62614,-46.68801
-23.62671,-46.68695
-23.6269,-46.68661
-23.62702,-46.68647
-23.62723,-46.68622
-23.62749,-46.68597
-23.62768,-46.68583
-23.62813,-46.68557
-23.62846,-46.6854
-23.62947,-46.68492
-23.62962,-46.68483
-23.62967,-46.68479
-23.62977,-46.68465
-23.62987,-46.68458
-23.63015,-46.68432
-23.63031,-46.68415
-23.63097,-46.68348
-23.6318,-46.68261
-23.63217,-46.68218
-23.63309,-46.68089
-23.63387,-46.67989
-23.63456,-46.67919
-23.63489,-46.67891
-23.6352,-46.67869
-23.63586,-46.6782
-23.63663,-46.67769
-23.63697,-46.67751
-23.63732,-46.67736
-23.63795,-46.67717
-23.63982,-46.67673
-23.64035,-46.67654
-23.64055,-46.67645
-23.64072,-46.67633
-23.64092,-46.67614
-23.6412,-46.67576
-23.64135,-46.67553
-23.64175,-46.67496
-23.64207,-46.67456
-23.64325,-46.6735
-23.64402,-46.67281
-23.64446,-46.67242
-23.64471,-46.67223
-23.6452,-46.67195
-23.64596,-46.67154
-23.64634,-46.67132
-23.64698,-46.67094
-23.6473,-46.6708
-23.64773,-46.67067
-23.64837,-46.67049
-23.64999,-46.67003
-23.65103,-46.66971
-23.65161,-46.66951
-23.65259,-46.66919
-23.65282,-46.6691
-23.65309,-46.66895
-23.65356,-46.66861
-23.65386,-46.6683
-23.65444,-46.6675
-23.65455,-46.66736
-23.65495,-46.66702
-23.65565,-46.66646
-23.65636,-46.6658
-23.65678,-46.66538
-23.65831,-46.66392
-23.65857,-46.66367
-23.65874,-46.66356
-23.65909,-46.66339
-23.65928,-46.66334
-23.65948,-46.66333
-23.66007,-46.66331
-23.66068,-46.66333
-23.66106,-46.66328
-23.66131,-46.66319
-23.66156,-46.66306
-23.6617,-46.66298
-23.66183,-46.66289
-23.66243,-46.66237
-23.66352,-46.66147
-23.66376,-46.66121
-23.66395,-46.66093
-23.66424,-46.66035
-23.66498,-46.65894
-23.66575,-46.65742
-23.66592,-46.65704
-23.66659,-46.65546
-23.66697,-46.65467
-23.6679,-46.65248
-23.66896,-46.65005
-23.66929,-46.64933
-23.66953,-46.64892
-23.67073,-46.64723
-23.67225,-46.64515
-23.67298,-46.64417
-23.67332,-46.64378
-23.67381,-46.64335
-23.67402,-46.6432
-23.67444,-46.64296
-23.67497,-46.64267
-23.67533,-46.64249
-23.67584,-46.64223
-23.67614,-46.6421
-23.6771,-46.64177
-23.67761,-46.64155
-23.67805,-46.64129
-23.67857,-46.64092
-23.67939,-46.64021
-23.68065,-46.63912
-23.68089,-46.63885
-23.68108,-46.6386
-23.68125,-46.63833
-23.68153,-46.63784
-23.68231,-46.63649
-23.68291,-46.63546
-23.6839,-46.63367
-23.68418,-46.6331
-23.68433,-46.63273
-23.68441,-46.63241
-23.68448,-46.63202
-23.68462,-46.63087
-23.68475,-46.62998
-23.68479,-46.62965
-23.68481,-46.62925
-23.68484,-46.62895
-23.68488,-46.62798
-23.6849,-46.6276
-23.68496,-46.62727
-23.68504,-46.62704
-23.68518,-46.62666
-23.68525,-46.62641
-23.68528,-46.62617
-23.68523,-46.62596
-23.68516,-46.62597
-23.6851,-46.62599
-23.68506,-46.62604
-23.68498,-46.62615
-23.68491,-46.62625
-23.68484,-46.62628
-23.68458,-46.62632
