lat,long
-23.541024,-46.575813
-23.541053,-46.575923
-23.541085,-46.576048
-23.541116,-46.576182
-23.541147,-46.576312
-23.541183,-46.576467
-23.541212,-46.576591
-23.541246,-46.576742
-23.541257,-46.576787
-23.541281,-46.576906
-23.541286,-46.576963
-23.541281,-46.577003
-23.541263,-46.577035
-23.541231,-46.577065
-23.541192,-46.577081
-23.541153,-46.577086
-23.541131,-46.577078
-23.541101,-46.577058
-23.54108,-46.577036
-23.54105,-46.576894
-23.541028,-46.57678
-23.541013,-46.576704
-23.540987,-46.576582
-23.540974,-46.576517
-23.540951,-46.576406
-23.54094,-46.576349
-23.54092,-46.576254
-23.5409,-46.57616
-23.540876,-46.576038
-23.540855,-46.575941
-23.540827,-46.575811
-23.540807,-46.575694
-23.540799,-46.575646
-23.540793,-46.575611
-23.54079,-46.575569
-23.540791,-46.575533
-23.540835,-46.575427
-23.541763,-46.575226
-23.541949,-46.575172
-23.542164,-46.576342
-23.542272,-46.576919
-23.542282,-46.57698
-23.542241,-46.57708
-23.542214,-46.577152
-23.542412,-46.578032
-23.542514,-46.578486
-23.543312,-46.578291
-23.543981,-46.578119
-23.543981,-46.578213
-23.543968,-46.578296
-23.543903,-46.578507
-23.543837,-46.578609
-23.54372,-46.578749
-23.543475,-46.578979
-23.543212,-46.579268
-23.54314,-46.579404
-23.543097,-46.579512
-23.543086,-46.579603
-23.543094,-46.579737
-23.543098,-46.579891
-23.543098,-46.580002
-23.54311,-46.580157
-23.543114,-46.580298
-23.543118,-46.580362
-23.543122,-46.580496
-23.543137,-46.580674
-23.543154,-46.580893
-23.543175,-46.580962
-23.543217,-46.581026
-23.543258,-46.581093
-23.543247,-46.581273
-23.543241,-46.581462
-23.543247,-46.581637
-23.543255,-46.581819
-23.54323,-46.581917
-23.543175,-46.581943
-23.543123,-46.581955
-23.543068,-46.581947
-23.543002,-46.581913
-23.542946,-46.581868
-23.542918,-46.58179
-23.542898,-46.581686
-23.542885,-46.581534
-23.542887,-46.581376
-23.542892,-46.581215
-23.542892,-46.581059
-23.542907,-46.580944
-23.54295,-46.580811
-23.543002,-46.580679
-23.543048,-46.580614
-23.54317,-46.580569
-23.543282,-46.580545
-23.543445,-46.580505
-23.544201,-46.580345
-23.545243,-46.580139
-23.545512,-46.580074
-23.546372,-46.579881
-23.546549,-46.579918
-23.546779,-46.580043
-23.546869,-46.580103
-23.547679,-46.579722
-23.548151,-46.579487
-23.548883,-46.579297
-23.549179,-46.579217
-23.549661,-46.57904
-23.549791,-46.578985
-23.550571,-46.578573
-23.551082,-46.578283
-23.551271,-46.578603
-23.551463,-46.578916
-23.551562,-46.579082
-23.551727,-46.579358
-23.551741,-46.579378
-23.55175,-46.579396
-23.551803,-46.579485
-23.551858,-46.579575
-23.551536,-46.579753
-23.55153,-46.579757
-23.5515,-46.579774
-23.551373,-46.579846
-23.551324,-46.579874
-23.550723,-46.580215
-23.551161,-46.580673
-23.55143,-46.580948
-23.552166,-46.581713
-23.552671,-46.582258
-23.553101,-46.582728
-23.553353,-46.583
-23.553692,-46.583374
-23.553751,-46.583439
-23.553957,-46.583667
-23.554031,-46.583717
-23.554126,-46.583789
-23.554401,-46.583937
-23.554625,-46.584057
-23.554866,-46.584183
-23.555426,-46.584489
-23.555545,-46.58455
-23.556199,-46.584907
-23.556423,-46.585022
-23.556735,-46.585188
-23.557015,-46.585344
-23.557255,-46.585479
-23.557443,-46.585571
-23.55779,-46.585755
-23.557826,-46.585773
-23.558281,-46.586018
-23.55846,-46.586117
-23.558723,-46.58626
-23.558765,-46.586288
-23.559249,-46.586556
-23.559498,-46.586686
-23.559729,-46.586801
-23.559998,-46.586941
-23.560213,-46.586448
-23.560381,-46.586072
-23.56039,-46.586048
-23.560594,-46.585585
-23.560718,-46.585309
-23.560851,-46.585001
-23.561243,-46.58413
-23.561639,-46.583244
-23.561661,-46.58311
-23.561689,-46.582729
-23.561753,-46.581975
-23.561818,-46.581119
-23.561821,-46.581021
-23.561831,-46.580949
-23.56184,-46.580838
-23.561865,-46.580506
-23.561941,-46.579703
-23.562637,-46.577942
-23.562702,-46.578006
-23.562852,-46.578195
-23.56299,-46.578374
-23.563212,-46.578566
-23.563463,-46.578734
-23.563966,-46.578973
-23.56415,-46.579058
-23.56484,-46.579385
-23.565133,-46.579538
-23.565257,-46.579641
-23.565427,-46.579777
-23.565554,-46.579875
-23.565613,-46.579913
-23.5657,-46.57997
-23.565888,-46.58005
-23.565989,-46.580075
-23.566048,-46.580053
-23.566109,-46.580089
-23.566164,-46.580094
-23.566378,-46.580115
-23.567047,-46.580179
-23.567456,-46.580217
-23.567422,-46.580674
-23.567378,-46.581341
-23.567331,-46.582077
-23.567308,-46.582474
-23.567304,-46.582648
-23.567298,-46.583624
-23.567295,-46.584629
-23.56729,-46.585712
-23.56709,-46.585693
-23.566877,-46.585675
-23.566705,-46.585663
-23.56645,-46.58564
-23.566083,-46.58561
-23.565578,-46.585569
-23.565029,-46.585514
-23.564966,-46.585685
-23.564533,-46.586655
-23.564402,-46.586923
-23.564361,-46.587026
-23.56397,-46.587874
-23.563753,-46.588345
-23.563546,-46.588816
-23.563173,-46.589637
-23.562679,-46.590712
-23.562104,-46.592043
-23.561715,-46.59238
-23.561391,-46.59268
-23.562337,-46.593256
-23.563453,-46.593939
-23.563533,-46.593826
-23.56394,-46.59308
-23.564172,-46.592631
-23.56452,-46.591966
-23.563596,-46.591396
-23.563538,-46.591362
-23.563457,-46.591313
