lat,long
-23.566593,-46.701716
-23.566663,-46.701655
-23.566673,-46.701646
-23.566728,-46.7016
-23.56677,-46.701568
-23.566802,-46.701542
-23.56686,-46.70151
-23.566879,-46.701495
-23.5669,-46.701484
-23.566937,-46.701468
-23.567084,-46.701377
-23.567103,-46.701365
-23.56718,-46.701311
-23.56721,-46.701299
-23.567243,-46.701277
-23.567326,-46.701211
-23.567486,-46.700903
-23.567579,-46.700712
-23.567604,-46.700656
-23.567625,-46.700612
-23.56766,-46.700527
-23.567681,-46.700457
-23.56775,-46.700412
-23.567931,-46.70039
-23.567739,-46.699603
-23.56772,-46.699362
-23.567668,-46.69827
-23.567615,-46.696502
-23.567615,-46.696379
-23.567622,-46.696203
-23.567625,-46.695946
-23.567624,-46.695585
-23.567617,-46.695496
-23.567571,-46.694914
-23.567494,-46.693944
-23.567522,-46.693782
-23.567564,-46.693598
-23.567612,-46.693401
-23.56766,-46.69328
-23.567707,-46.693136
-23.567886,-46.692973
-23.568175,-46.692715
-23.568954,-46.692246
-23.569452,-46.691941
-23.570256,-46.691428
-23.570646,-46.69118
-23.571017,-46.69094
-23.571152,-46.690856
-23.571223,-46.690813
-23.571403,-46.690698
-23.571881,-46.690394
-23.572006,-46.690323
-23.572115,-46.69026
-23.572289,-46.690155
-23.572317,-46.690094
-23.57238,-46.690098
-23.572557,-46.689987
-23.573067,-46.689641
-23.573623,-46.689247
-23.574417,-46.688758
-23.574991,-46.68841
-23.57558,-46.688048
-23.576025,-46.687767
-23.576083,-46.687731
-23.576543,-46.687452
-23.577037,-46.687147
-23.577409,-46.686914
-23.57821,-46.686418
-23.578528,-46.686221
-23.579352,-46.685713
-23.579642,-46.68557
-23.579973,-46.685393
-23.580219,-46.68527
-23.580604,-46.685077
-23.580739,-46.685005
-23.580832,-46.684958
-23.581262,-46.684739
-23.581474,-46.684632
-23.581555,-46.684592
-23.581837,-46.684469
-23.581947,-46.684425
-23.582109,-46.684376
-23.582399,-46.684245
-23.582909,-46.684015
-23.583678,-46.683677
-23.584048,-46.683508
-23.584325,-46.683378
-23.584492,-46.683302
-23.585124,-46.683102
-23.585247,-46.683076
-23.585513,-46.683035
-23.585689,-46.682986
-23.585901,-46.682894
-23.585996,-46.682842
-23.585977,-46.682821
-23.585935,-46.682751
-23.585905,-46.682715
-23.585865,-46.682664
-23.585849,-46.682609
-23.585607,-46.681719
-23.585574,-46.68159
-23.584836,-46.682063
-23.584541,-46.680976
-23.58432,-46.680146
-23.58427,-46.679981
-23.584054,-46.67919
-23.584019,-46.67905
-23.583922,-46.678687
-23.583763,-46.678119
-23.583502,-46.677166
-23.583219,-46.676091
-23.582662,-46.674061
-23.583252,-46.673877
-23.583541,-46.673783
-23.583609,-46.673739
-23.583656,-46.673745
-23.58429,-46.673542
-23.585128,-46.67328
-23.585287,-46.673231
-23.585957,-46.673015
-23.586212,-46.672933
-23.586101,-46.672727
-23.586029,-46.672566
-23.585913,-46.672298
-23.585883,-46.672227
-23.585776,-46.671939
-23.58575,-46.671882
-23.585734,-46.671832
-23.58568,-46.67167
-23.585618,-46.671467
-23.585567,-46.671293
-23.585561,-46.671272
-23.585543,-46.671209
