lat,long
-23.602916,-46.602484
-23.602957,-46.602519
-23.603004,-46.602559
-23.603056,-46.602602
-23.603134,-46.602673
-23.603181,-46.602715
-23.603284,-46.602807
-23.603338,-46.602856
-23.603407,-46.602919
-23.603308,-46.603068
-23.603248,-46.603152
-23.603206,-46.603217
-23.603077,-46.603105
-23.60302,-46.603056
-23.602954,-46.602999
-23.602878,-46.602932
-23.602847,-46.602902
-23.602748,-46.602809
-23.60271,-46.602773
-23.602619,-46.602687
-23.602571,-46.602642
-23.602504,-46.602578
-23.602211,-46.602747
-23.602029,-46.603017
-23.601591,-46.603489
-23.601454,-46.603632
-23.60103,-46.603971
-23.600445,-46.604326
-23.599993,-46.604578
-23.599422,-46.604902
-23.599191,-46.605002
-23.598395,-46.605341
-23.598388,-46.605269
-23.598299,-46.604271
-23.598198,-46.603079
-23.598145,-46.602412
-23.598101,-46.601884
-23.597022,-46.601985
-23.596926,-46.60078
-23.597996,-46.600661
-23.599051,-46.600584
-23.600115,-46.600483
-23.600849,-46.60041
-23.600951,-46.600409
-23.600976,-46.600276
-23.60098,-46.599989
-23.600985,-46.599793
-23.60102,-46.599563
-23.601054,-46.599419
-23.601112,-46.599237
-23.601192,-46.599064
-23.601235,-46.598977
-23.60128,-46.598891
-23.601341,-46.598807
-23.601417,-46.598712
-23.601475,-46.598632
-23.6016,-46.598505
-23.601684,-46.598431
-23.601781,-46.598351
-23.601891,-46.59827
-23.601984,-46.598217
-23.602229,-46.598058
-23.602697,-46.597743
-23.60282,-46.597652
-23.60291,-46.59759
-23.60296,-46.597558
-23.603073,-46.597482
-23.603158,-46.597425
-23.603575,-46.597123
-23.60373,-46.596999
-23.6038,-46.596926
-23.603929,-46.596785
-23.604211,-46.596444
-23.604363,-46.596244
-23.604438,-46.596133
-23.604716,-46.595785
-23.605074,-46.595343
-23.605337,-46.59501
-23.605633,-46.59465
-23.606212,-46.593925
-23.606342,-46.593798
-23.606671,-46.593521
-23.606888,-46.593254
-23.608539,-46.591154
-23.608962,-46.591544
-23.609261,-46.591826
-23.6095,-46.592046
-23.609743,-46.592275
-23.610426,-46.592899
-23.610497,-46.59298
-23.610132,-46.593637
-23.610104,-46.593684
-23.610054,-46.593777
-23.610104,-46.593684
-23.610054,-46.593777
-23.609919,-46.594021
-23.609832,-46.594175
-23.60966,-46.594496
-23.609559,-46.594628
-23.609422,-46.594764
-23.609258,-46.594847
-23.609072,-46.594929
-23.60868,-46.5951
-23.608286,-46.595273
-23.607466,-46.595642
-23.60736,-46.595537
-23.607165,-46.595286
-23.607095,-46.59517
-23.60703,-46.595048
-23.607021,-46.594955
-23.606994,-46.594795
-23.606989,-46.594706
-23.606993,-46.594518
-23.606983,-46.594258
-23.60698,-46.594051
-23.606979,-46.593841
-23.606973,-46.593702
-23.606963,-46.593499
-23.606954,-46.593363
-23.606888,-46.593254
-23.606877,-46.593077
-23.606808,-46.593174
-23.606688,-46.593313
-23.606481,-46.593502
-23.606114,-46.593713
-23.605808,-46.593839
-23.60543,-46.593991
-23.60498,-46.594177
-23.604847,-46.594231
-23.604732,-46.594262
-23.604543,-46.594328
-23.603931,-46.594566
-23.603109,-46.594875
-23.602531,-46.595098
-23.602056,-46.595286
-23.601933,-46.595327
-23.601708,-46.595454
-23.601347,-46.595707
-23.601239,-46.595813
-23.601104,-46.595968
-23.600916,-46.596198
-23.600829,-46.596274
-23.600678,-46.596457
-23.600584,-46.596632
-23.600427,-46.596847
-23.600282,-46.597116
-23.600201,-46.597295
-23.60014,-46.597461
-23.60011,-46.597577
-23.600099,-46.597643
-23.600067,-46.59781
-23.600043,-46.597945
-23.600029,-46.598104
-23.600026,-46.598163
-23.600019,-46.598394
-23.600024,-46.599232
-23.600027,-46.599401
-23.600115,-46.600483
-23.600171,-46.601088
-23.600211,-46.601688
-23.600254,-46.602267
-23.600311,-46.60287
-23.601374,-46.602763
-23.60201,-46.602699
-23.602211,-46.602747
-23.602224,-46.60282
-23.602285,-46.602903
-23.602379,-46.602983
-23.602537,-46.602864
-23.60258,-46.602817
-23.602608,-46.602747
-23.602619,-46.602687
-23.602571,-46.602642
-23.602504,-46.602578
-23.602537,-46.602521
-23.602578,-46.602449
-23.602665,-46.602274
-23.602769,-46.60236
-23.602815,-46.602397
-23.602916,-46.602484
-23.602957,-46.602519
