lat,long
-23.546823,-46.630676
-23.546926,-46.630607
-23.547032,-46.630533
-23.547112,-46.630462
-23.547279,-46.630342
-23.547429,-46.630238
-23.547507,-46.630184
-23.547541,-46.63016
-23.547582,-46.630131
-23.547714,-46.630039
-23.547748,-46.630016
-23.547843,-46.62995
-23.547977,-46.629849
-23.547999,-46.629833
-23.548033,-46.629808
-23.548067,-46.629782
-23.548137,-46.62967
-23.54826,-46.629755
-23.548416,-46.629788
-23.548473,-46.629737
-23.548548,-46.629687
-23.548803,-46.629514
-23.548912,-46.629443
-23.549058,-46.629332
-23.549131,-46.629269
-23.549206,-46.629229
-23.549419,-46.629109
-23.549437,-46.628774
-23.549426,-46.628578
-23.54942,-46.628466
-23.549413,-46.628366
-23.549404,-46.628324
-23.549385,-46.628252
-23.549313,-46.627943
-23.54923,-46.627777
-23.549161,-46.627648
-23.549141,-46.627616
-23.549116,-46.62758
-23.548949,-46.627332
-23.548546,-46.627065
-23.548521,-46.627044
-23.548505,-46.627034
-23.5484,-46.626969
-23.548281,-46.62693
-23.548087,-46.626862
-23.548008,-46.626853
-23.547806,-46.626811
-23.547245,-46.626726
-23.54641,-46.626596
-23.54699,-46.62668
-23.546147,-46.626539
-23.545926,-46.626542
-23.545815,-46.626537
-23.54571,-46.626537
-23.545507,-46.626559
-23.545259,-46.626583
-23.545072,-46.626627
-23.544972,-46.626617
-23.54484,-46.626552
-23.544662,-46.626713
-23.544513,-46.626812
-23.544438,-46.626843
-23.544335,-46.626873
-23.544094,-46.626935
-23.543823,-46.626994
-23.543712,-46.627008
-23.54357,-46.627023
-23.543517,-46.627026
-23.543274,-46.62702
-23.54316,-46.627026
-23.542804,-46.627061
-23.542706,-46.627072
-23.54255,-46.62712
-23.542421,-46.627194
-23.542264,-46.627327
-23.542162,-46.627435
-23.541986,-46.627637
-23.541571,-46.628127
-23.541293,-46.628463
-23.540417,-46.629495
-23.540277,-46.629677
-23.540068,-46.629891
-23.539903,-46.630223
-23.53978,-46.630726
-23.539462,-46.632073
-23.539408,-46.632307
-23.53933,-46.632635
-23.539305,-46.632744
-23.539271,-46.632902
-23.539254,-46.633706
-23.539254,-46.633767
-23.539257,-46.633891
-23.539255,-46.63404
-23.539251,-46.634239
-23.539234,-46.634353
-23.539073,-46.634955
-23.538931,-46.635461
-23.538864,-46.635698
-23.538849,-46.636059
-23.538813,-46.63619
-23.539001,-46.636225
-23.539227,-46.636279
-23.539432,-46.636324
-23.539626,-46.636366
-23.540495,-46.637692
-23.541147,-46.638708
-23.541222,-46.638802
-23.541324,-46.638931
